"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.27,1.71,0,0.09,6222.83,58,0.24
"2",2,0.11,0.93,0,0.07,2296.32,82,0.44
"3",3,0.1,0.19,0.01,0.09,62.46,6,0.17
"4",4,0.13,0.36,0,0.09,79.28,15,0.4
"5",5,0.07,0.56,0,0.06,316.52,86,0.28
"6",6,0.04,0.07,0.01,0.04,4.55,4,0.25
"7",7,0.21,0.67,0.01,0.18,1359.21,31,0.06
"8",8,0.33,1.38,0,0.29,3336.67,36,0.31
"9",9,0.08,0.25,0,0.06,222.14,19,0.16
"10",10,0.06,0.13,0,0.03,16.44,5,0
"11",11,0.09,0.27,0,0.08,316.9,31,0.19
"12",12,0.05,0.1,0.01,0.05,0.3,4,0
"13",13,0.15,0.77,0,0.14,1426.36,58,0.17
"14",14,0.08,0.13,0,0.12,42.08,5,0.2
"15",15,0,0,0,0,0,2,0
"16",16,0.15,0.15,0.15,0.15,0,2,0
"17",17,0.06,0.06,0.06,0.06,0,2,0
"18",18,0.07,0.12,0.02,0.07,38.94,5,0
"19",19,0.01,0.01,0.01,0.01,0,2,0.5
"20",20,0.02,0.03,0,0.02,0.56,3,0.33
"21",21,0.07,0.11,0.02,0.09,3.18,3,0
"22",22,0.09,0.19,0,0.1,95.75,10,0.3
"23",23,0.06,0.07,0.03,0.07,9.18,3,0
"24",24,0.07,0.14,0.02,0.07,40.6,5,0
"25",25,0.18,0.18,0.18,0.18,0,2,1
"26",26,0.28,1.16,0,0.11,1281.31,11,0
"27",27,0.09,0.2,0.01,0.09,127.05,9,0
"28",28,0.08,0.36,0,0.07,369.77,79,0.35
"29",29,0.07,0.07,0.07,0.07,0,2,0
"30",30,0.01,0.01,0.01,0.01,0,2,0.5
"31",31,0.11,0.17,0.05,0.12,7.1,3,0
"32",32,0.19,0.35,0,0.22,205.28,6,0.33
"33",33,0.01,0.01,0.01,0.01,0,2,0
"34",34,0.01,0.01,0.01,0.01,0,2,0
"35",35,0.04,0.04,0.04,0.04,0,2,0
"36",36,0.11,0.27,0.01,0.11,203.52,9,0.11
"37",37,0,0,0,0,0,2,0.5
"38",38,0.01,0.01,0.01,0.01,0,2,0
"39",39,0.06,0.06,0.06,0.06,0,2,0
"40",40,0.03,0.03,0.03,0.03,0,2,0
"41",41,0.05,0.05,0.05,0.05,0,2,0
"42",42,0.18,0.4,0,0.16,619.81,15,0.33
"43",43,0.01,0.01,0.01,0.01,0,2,0.5
"44",44,0.07,0.28,0,0.06,221.09,57,1
