"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.03,0.1,0,0.03,21.45,19,0.26
"2",2,0.03,0.06,0.01,0.03,9.86,6,1
"3",3,0.02,0.06,0,0.01,4.18,6,0.5
"4",4,0.04,0.09,0,0.03,2.53,5,0.4
"5",5,0.04,0.11,0.01,0.03,29.51,8,0
"6",6,0.1,0.2,0.01,0.05,53.1,5,0
"7",7,0.11,0.19,0.02,0.11,39.08,4,0
"8",8,0.02,0.03,0.01,0.02,0.41,3,0
"9",9,0.05,0.09,0.01,0.05,3.35,4,0
"10",10,0.02,0.02,0.01,0.01,0.09,3,1
"11",11,0.13,0.2,0.08,0.12,15.17,3,0
"12",12,0.03,0.04,0.02,0.02,1.3,3,0.67
"13",13,0.15,0.15,0.15,0.15,0,2,0
"14",14,0.01,0.01,0.01,0.01,0,2,1
