"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.12,0.52,0.01,0.08,151.27,16,1
"2",2,0.11,0.5,0,0.09,1069.89,155,0.21
"3",3,0.08,0.29,0,0.07,209.85,43,1
"4",4,0.1,0.51,0,0.08,441.55,82,0.18
"5",5,0.08,0.17,0,0.09,62.61,8,0
"6",6,0.1,0.71,0,0.07,1035.39,79,0.28
"7",7,0.08,0.38,0,0.06,385.07,120,0.26
"8",8,0.08,0.28,0,0.03,46.08,12,0.17
"9",9,0.09,0.38,0,0.03,207.36,13,0.23
"10",10,0.11,0.27,0,0.1,53.46,10,0.2
"11",11,0.11,0.37,0,0.07,159.28,49,0.18
"12",12,0.07,0.4,0,0.05,344.44,93,0.06
"13",13,0.08,0.2,0,0.07,129.07,11,0.27
"14",14,0.1,0.2,0.01,0.1,8.84,4,0
"15",15,0,0.01,0,0,0.04,4,0
"16",16,0.05,0.21,0,0.04,51.69,20,0.95
"17",17,0.02,0.02,0.02,0.02,0,2,1
"18",18,0.22,0.42,0.02,0.21,72.75,4,0
"19",19,0.04,0.04,0.04,0.04,0,2,1
"20",20,0.01,0.01,0.01,0.01,0,2,1
"21",21,0.18,0.23,0.16,0.17,118.44,3,0
"22",22,0,0,0,0,0,2,0
"23",23,0,0,0,0,0,2,0
"24",24,0.26,0.26,0.26,0.26,0,2,0
