name,grupo,sub_grupo
19DST0097I,7,13
19EES0003K,7,13
19EES0009E,7,13
19EES0013R,7,13
19EES0140N,7,13
19EES0202J,7,13
19EES0225U,7,13
19EES0268S,7,13
19EES0269R,7,13
19EES0309B,7,13
19EES0312P,7,13
19EES0313O,7,13
19EES0319I,7,13
19EES0320Y,7,13
19PES0032L,7,13
19EES0316L,7,13
19EES0322W,7,13
19EES0323V,7,13
19EES0328Q,7,13
19PES0275H,7,13
19ESN0042U,7,13
19PES0257S,7,13
19ESN0004R,7,13
19ESN0074M,7,13
19PES0315S,7,13
19PES0026A,7,13
19DTV0033L,7,13
19PES0309H,7,13
19DES0010V,7,14
19EES0010U,7,14
19EES0102K,7,14
19EES0103J,7,14
19EES0141M,7,14
19EES0153R,7,14
19EES0310R,7,14
19ESN0025D,7,14
19EES0240M,7,14
19PES0105N,7,14
19ESN0040W,7,14
19DES0011U,7,15
19DES0063Z,7,15
19DSN0006Q,7,15
19DES0013S,7,16
19DES0029T,7,16
19DSN0002U,7,16
19EES0026V,7,16
19EES0030H,7,16
19DES0015Q,7,17
19DES0081P,7,17
19DST0013K,7,17
19EES0017N,7,17
19EES0101L,7,17
19ESN0026C,7,17
19DES0016P,7,18
19DES0024Y,7,18
19DES0096R,7,18
19DST0035W,7,18
19DST0046B,7,18
19DST0055J,7,18
19EES0007G,7,18
19EES0070I,7,18
19EES0174D,7,18
19EES0185J,7,18
19EES0203I,7,18
19EES0251S,7,18
19EES0285I,7,18
19PES0040U,7,18
19EES0297N,7,18
19ESN0050C,7,18
19DES0017O,7,19
19DES0033F,7,19
19DES0108F,7,19
19DES0019M,7,20
19PES0045P,7,20
19PES0053Y,7,20
19PES0057U,7,20
19PES0277F,7,20
19PES0295V,7,20
19PES0312V,7,20
19PES0304M,7,20
19DES0020B,7,21
19DES0028U,7,21
19DES0039Z,7,21
19DES0066X,7,21
19DES0112S,7,21
19DSN0005R,7,21
19DST0004C,7,21
19DST0031Z,7,21
19DST0047A,7,21
19DST0049Z,7,21
19DST0053L,7,21
19DST0061U,7,21
19DST0069M,7,21
19DST0090P,7,21
19DST0098H,7,21
19DST0100F,7,21
19DST0103C,7,21
19DST0108Y,7,21
19EES0078A,7,21
19EES0079Z,7,21
19EES0256N,7,21
19ESN0008N,7,21
19PES0024C,7,21
19PES0030N,7,21
19PES0055W,7,21
19PES0108K,7,21
19PES0161F,7,21
19PES0252X,7,21
19ESN0052A,7,21
19ESN0027B,7,21
19ESN0034L,7,21
19PES0226Z,7,21
19PES0313U,7,21
19DES0021A,7,22
19DES0099O,7,22
19EES0290U,7,22
19EES0302I,7,22
19ESN0061I,7,22
19DES0025X,7,23
19EES0015P,7,23
19EES0069T,7,23
19EES0081O,7,23
19EES0082N,7,23
19EES0162Z,7,23
19PES0116T,7,23
19PES0293X,7,23
19DES0026W,7,24
19DES0030I,7,24
19DES0053T,7,24
19DES0102L,7,24
19DSN0001V,7,24
19DST0030A,7,24
19DST0091O,7,24
19EES0037A,7,24
19EES0039Z,7,24
19EES0041N,7,24
19EES0213P,7,24
19EES0264W,7,24
19EES0284J,7,24
19EES0327R,7,24
19PES0034J,7,24
19ESN0048O,7,24
19EES0281M,7,24
19PES0221D,7,24
19ESN0033M,7,24
19ESN0044S,7,24
19DES0032G,7,25
19DES0046J,7,25
19DES0052U,7,25
19DES0071I,7,25
19DES0078B,7,25
19DES0101M,7,25
19DST0037U,7,25
19DST0057H,7,25
19DST0062T,7,25
19DST0074Y,7,25
19DST0095K,7,25
19EES0001M,7,25
19EES0068U,7,25
19EES0071H,7,25
19EES0072G,7,25
19EES0177A,7,25
19EES0241L,7,25
19EES0250T,7,25
19EES0282L,7,25
19PES0012Y,7,25
19PES0033K,7,25
19PES0063E,7,25
19PES0086P,7,25
19EES0318J,7,25
19EES0314N,7,25
19ESN0038H,7,25
19PES0286N,7,25
19PES0308I,7,25
19PES0035I,7,25
19PES0084R,7,25
19DES0035D,7,26
19DES0109E,7,26
19DES0036C,7,27
19DES0076D,7,27
19ESN0013Z,7,27
19ESN0031O,7,27
19EES0014Q,7,27
19DES0037B,7,28
19EES0019L,7,28
19EES0034D,7,28
19EES0154Q,7,28
19DES0038A,7,29
19ESN0022G,7,29
19DES0040P,7,30
19EES0286H,7,30
19EES0301J,7,30
19DES0045K,7,31
19DES0100N,7,31
19DST0029L,7,31
19DES0047I,7,32
19DES0087J,7,32
19DST0101E,7,32
19ESN0067C,7,32
19DES0048H,7,33
19DST0017G,7,33
19EES0106G,7,33
19EES0172F,7,33
19DES0054S,7,34
19DES0080Q,7,34
19DES0089H,7,34
19DES0092V,7,34
19DST0050O,7,34
19DST0070B,7,34
19ESN0069A,7,34
19DES0055R,7,35
19DES0103K,7,35
19DSN0007P,7,35
19DES0058O,7,36
19DST0036V,7,36
19DST0066P,7,36
19EES0090W,7,36
19EES0091V,7,36
19EES0119K,7,36
19EES0258L,7,36
19EES0317K,7,36
19DES0093U,7,37
19DES0117N,7,37
19DES0094T,7,38
19DES0110U,7,38
19DES0116O,7,38
19DES0098P,7,39
19DES0111T,7,39
19DST0065Q,7,39
19DST0087B,7,39
19EES0084L,7,39
19EES0111S,7,39
19EES0145I,7,39
19EES0255O,7,39
19PES0224A,7,39
19EES0324U,7,39
19ESN0053Z,7,39
19DES0106H,7,40
19DES0118M,7,40
19DST0085D,7,40
19DES0114Q,7,41
19EES0124W,7,41
19EES0243J,7,41
19DES0115P,7,42
19DST0077V,7,42
19DST0105A,7,42
19EES0260Z,7,42
19EES0330E,7,42
19DES0120A,7,43
19DST0107Z,7,43
19EES0083M,7,43
19EES0274C,7,43
19DSN0003T,7,44
19EES0061A,7,44
19EES0064Y,7,44
19ESN0028A,7,44
19DST0001F,7,45
19EES0117M,7,45
19DST0007Z,7,46
19EES0093T,7,46
19DST0011M,7,47
19EES0031G,7,47
19EES0239X,7,47
19DST0015I,7,48
19EES0120Z,7,48
19DST0028M,7,49
19EES0024X,7,49
19ESN0064F,7,49
19EES0158M,7,49
19EES0214O,7,49
19DST0032Z,7,50
19EES0098O,7,50
19EES0109D,7,50
19EES0169S,7,50
19EES0299L,7,50
19ESN0062H,7,50
19PES0256T,7,50
19DST0043E,7,51
19DST0073Z,7,51
19ESN0060J,7,51
19EES0332C,7,51
19DST0044D,7,52
19ESN0072O,7,52
19DST0054K,7,53
19ESN0023F,7,53
19DST0058G,7,54
19DST0083F,7,54
19DST0093M,7,54
19EES0289E,7,54
19EES0296O,7,54
19PSN0023L,7,54
19DTV0029Z,7,55
19EES0192T,7,55
19DTV0037H,7,56
19EES0107F,7,56
19DTV0078H,7,57
19EES0094S,7,57
19EES0311Q,7,57
19EES0011T,7,58
19ESN0032N,7,58
19EES0021Z,7,59
19EES0036B,7,59
19PES0007M,7,59
19PES0015V,7,59
19PES0127Z,7,59
19PES0272K,7,59
19EES0025W,7,60
19EES0028T,7,60
19EES0032F,7,60
19EES0167U,7,60
19EES0211R,7,60
19ESN0012Z,7,60
19EES0038Z,7,61
19PES0130M,7,61
19PES0259Q,7,61
19EES0046I,7,62
19EES0047H,7,62
19EES0062Z,7,63
19EES0065X,7,63
19EES0184K,7,63
19ESN0003S,7,63
19EES0063Z,7,64
19PES0279D,7,64
19PES0287M,7,64
19EES0067V,7,65
19EES0249D,7,65
19EES0073F,7,66
19PES0043R,7,66
19PES0077H,7,66
19PES0136G,7,66
19PES0292Y,7,66
19EES0080P,7,67
19EES0088H,7,67
19EES0291T,7,67
19EES0321X,7,67
19EES0326S,7,67
19EES0092U,7,68
19EES0168T,7,68
19EES0157N,7,69
19EES0283K,7,69
19EES0159L,7,70
19EES0288F,7,70
19EES0160A,7,71
19EES0298M,7,71
19EES0186I,7,72
19ESN0030P,7,72
19EES0196P,7,73
19PES0066B,7,73
19PES0134I,7,73
19EES0201K,7,74
19EES0292S,7,74
19ESN0021H,7,74
19EES0217L,7,75
19EES0247F,7,75
19EES0242K,7,76
19EES0331D,7,76
19EES0315M,7,77
19EES0333B,7,77
19PES0001S,7,78
19PES0013X,7,78
19PES0025B,7,78
19PES0069Z,7,78
19PES0074K,7,78
19PES0085Q,7,78
19PES0113W,7,78
19PES0263C,7,78
19PES0270M,7,78
19PES0281S,7,78
19PES0278E,7,78
19PES0052Z,7,78
19PES0296U,7,78
19PES0232J,7,78
19PES0002R,7,79
19PES0068Z,7,79
19PES0006N,7,80
19PES0070O,7,80
19PES0071N,7,80
19PES0072M,7,80
19PES0193Y,7,80
19PES0011Z,7,81
19PES0051Z,7,81
19PES0092Z,7,81
19PES0093Z,7,81
19PES0166A,7,81
