"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.09,0.71,0,0.06,958.58,59,0.29
"2",2,0,0,0,0,0,2,0
"3",3,0,0,0,0,0,2,0
"4",4,0.26,0.26,0.26,0.26,0,2,0
"5",5,0.18,0.23,0.16,0.17,118.38,3,0
"6",6,NA,-Inf,Inf,NA,0,1,0
"7",7,0.17,0.51,0,0.14,959.46,29,0.17
"8",8,0.11,0.52,0.01,0.08,166.18,21,1
"9",9,0.02,0.03,0,0.03,0,3,0
"10",10,0.04,0.13,0,0.03,29.84,25,0.6
"11",11,0.05,0.21,0,0.04,52.04,25,0.92
"12",12,0.09,0.3,0,0.08,339.5,100,0.16
"13",13,0.09,0.58,0,0.05,235.49,30,0.17
"14",14,0.11,0.38,0,0.07,190.22,58,0.31
"15",15,0.08,0.25,0,0.07,224.71,40,0.82
"16",16,0.07,0.26,0,0.06,215.87,90,0.06
"17",17,0.35,0.81,0,0.29,974.44,12,0
"18",18,NA,-Inf,Inf,NA,0,1,0
"19",19,0.02,0.02,0.02,0.02,0,2,0.5
"20",20,0.13,0.42,0,0.1,621.29,58,0.21
"21",21,0.1,0.45,0,0.08,441.2,55,0.04
"22",22,0.05,0.21,0,0.04,102.81,52,0.15
"23",23,0.08,0.2,0,0.06,38.5,6,0
"24",24,0.4,1.07,0,0.38,2219.1,47,0.36
"25",25,0.07,0.15,0,0.06,56.77,15,0.8
