"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.02,0.02,0.02,0.02,0,2,0
"2",2,0.06,0.2,0,0.05,101.61,38,0.92
"3",3,0.07,0.17,0,0.05,86.29,14,0.14
"4",4,0.16,0.43,0,0.15,381.39,16,0.06
"5",5,0.1,0.12,0.07,0.1,62.01,4,0
"6",6,0.09,0.33,0,0.07,323.45,54,0.2
"7",7,0.15,0.27,0.06,0.15,179.17,6,0
"8",8,0.08,0.15,0.05,0.08,3.53,4,0
"9",9,0.07,0.13,0.03,0.06,18.54,4,0
"10",10,0,0,0,0,0,2,0
"11",11,0.07,0.19,0,0.06,46.45,9,0
"12",12,0.1,0.57,0,0.05,725.76,45,0.24
"13",13,0.03,0.05,0,0.05,0.17,3,0
"14",14,0,0,0,0,0,2,0
"15",15,0,0,0,0,0,2,0
"16",16,0,0,0,0,0,2,0
"17",17,0,0,0,0,0,2,0
"18",18,0,0,0,0,0,2,0
"19",19,0,0,0,0,0,2,0
"20",20,0,0,0,0,0,2,0
"21",21,0,0,0,0,0,2,0
"22",22,0.03,0.05,0,0.05,0.2,3,0
"23",23,0.02,0.03,0.01,0.02,1.16,3,1
