name,lat,lon,grupo,authority,betweenness,eigen,hub,pagerank,subgraph,degree
28DES0006Q,22.22118,-97.86332,12,0.002763316878738766,994,0.00276331687873396,0.002763316878738766,0.014686321474170266,2256259.3400146537,29
28DES0016X,22.25389,-97.82812,12,0.0020778253264441392,136,0.0020778253264374085,0.0020778253264441392,0.017746756047147802,840208.8086131762,19
28DES0022H,22.2378,-97.86532,12,0.0011632034571169314,553,0.0011632034571125898,0.0011632034571169314,0.00893194805412415,1621928.3237324678,21
28DES0030Q,22.23988,-97.83912,12,0.0016933429960967097,534,0.0016933429960915385,0.0016933429960967097,0.01636702711480227,1804546.2404802577,28
28DES0031P,22.28406,-97.86973,12,0.0016884109307169811,714,0.0016884109307108077,0.0016884109307169811,0.015473817883114591,2235509.4134202907,30
28DES0036K,22.39208,-97.94043,12,0.0029045749875278148,718,0.002904574987519005,0.0029045749875278148,0.017480516071100367,2316435.484444733,30
28DES0043U,22.27566,-97.88094,12,0.002505343298086293,23,0.002505343298079648,0.002505343298086293,0.012034376187596422,1301057.4912194689,18
28DES0044T,22.26281,-97.83678,12,0.002843524699361567,262,0.0028435246993538106,0.002843524699361567,0.017591201303844846,2091196.51340717,25
28DES0048P,22.26112,-97.82935,12,0.0017022616379238872,0,0.0017022616379180544,0.0017022616379238872,0.011079504727479442,791954.42246433,14
28DES0052B,22.22413,-97.88683,12,0.02377040131557576,404,0.023770401315400716,0.02377040131557576,0.01231598871520863,504685.187713885,13
28DES0056Y,22.31093,-97.86333,12,0.0019852770136599635,315,0.0019852770136525987,0.0019852770136599635,0.012463091515702025,3210747.3693531617,28
28DES0059V,22.29228,-97.83599,12,0.0013401230373180028,4,0.0013401230373137633,0.0013401230373180028,0.009145183096105283,640208.5356091467,13
28DES0060K,22.28412,-97.88599,12,0.0024097583716818053,532,0.0024097583716746938,0.0024097583716818053,0.013665876881117667,2286066.6110989554,24
28DES0077K,22.2288,-97.84161,12,0.0011642257887402858,101,0.0011642257887352926,0.0011642257887402858,0.009279563175184566,308514.48656935134,11
28DES0086S,22.30351,-97.89541,12,0.002308944669507536,409,0.0023089446695005868,0.002308944669507536,0.015702075575842828,2063695.4158529446,26
28DES0093B,22.31256,-97.85481,12,0.0017620005776424863,8,0.0017620005776365474,0.0017620005776424863,0.012045743482360484,914135.7814943934,14
28DES0094A,22.23876,-97.83771,12,0.0018401890321508756,568,0.0018401890321449574,0.0018401890321508756,0.02144603603525506,1260689.6168063453,24
