"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.08,0.14,0.01,0.07,36.26,5,0
"2",2,0.23,0.62,0.01,0.21,997.12,23,0.09
"3",3,0.05,0.05,0.05,0.05,0,2,0
"4",4,0.14,0.8,0,0.08,1688.38,34,0.26
"5",5,0.08,0.19,0.01,0.07,76.26,10,0
"6",6,0.08,0.08,0.08,0.08,0,2,0
"7",7,0.1,0.15,0.05,0.1,8.96,3,0
"8",8,0.01,0.01,0.01,0.01,0,2,0
"9",9,0.16,0.39,0.03,0.12,282.1,10,0
"10",10,0.15,0.22,0.03,0.2,11.56,3,0
"11",11,0.09,0.16,0.04,0.09,30.05,4,0
"12",12,0.13,0.33,0.03,0.12,130.4,8,0
"13",13,0.12,0.28,0,0.12,248.44,14,0
"14",14,0.11,0.23,0,0.12,150.48,9,0
"15",15,0.01,0.01,0.01,0.01,0,2,0
"16",16,0.02,0.02,0.02,0.02,0,2,0
"17",17,0.31,0.67,0,0.36,1462.91,14,0
"18",18,0.03,0.03,0.03,0.03,0,2,0
"19",19,0.07,0.14,0.03,0.07,37.81,6,0
"20",20,0.1,0.15,0.02,0.14,10.42,3,0
"21",21,0.02,0.02,0.02,0.02,0,2,0
"22",22,0.03,0.03,0.03,0.03,0,2,0
"23",23,0.05,0.05,0.05,0.05,0,2,0
"24",24,0.04,0.04,0.04,0.04,0,2,0
"25",25,0.18,0.4,0.01,0.18,326.69,9,0
"26",26,0.08,0.08,0.08,0.08,0,2,0
"27",27,0.1,0.1,0.1,0.1,0,2,0
"28",28,0.22,0.41,0.03,0.28,404.87,6,0
