"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.06,0.27,0,0.06,175.84,75,0.49
"2",2,0.1,0.21,0.01,0.11,81.34,7,0.14
"3",3,0.05,0.1,0.01,0.05,18.12,6,0
"4",4,0.02,0.02,0.02,0.02,0,2,0
"5",5,0.11,0.11,0.11,0.11,0,2,0
"6",6,0.01,0.02,0,0.01,0.69,5,0.4
"7",7,0.1,0.12,0.07,0.1,62.16,4,0
"8",8,0.09,0.18,0.05,0.08,76.36,6,0
"9",9,0.13,0.19,0.09,0.12,39.94,3,0
"10",10,0.1,0.1,0.1,0.1,0,2,0
"11",11,0.06,0.08,0.03,0.07,10.22,3,0
"12",12,0.11,0.16,0.06,0.1,2.95,3,0
"13",13,0.1,0.1,0.1,0.1,0,2,0
"14",14,0.07,0.07,0.07,0.07,0,2,0
"15",15,0.05,0.11,0,0.05,27.25,9,1
"16",16,0.08,0.31,0,0.02,58.93,11,0.27
"17",17,0.08,0.15,0.05,0.08,3.3,4,0
"18",18,0.06,0.27,0,0.04,86.16,26,0.08
"19",19,0.09,0.19,0.05,0.08,38.76,5,0
"20",20,0.07,0.13,0.03,0.06,18.51,4,0
"21",21,0.11,0.11,0.11,0.11,0,2,0
"22",22,0.03,0.05,0,0.05,0.27,3,0
"23",23,0.02,0.03,0,0.02,0.18,3,0
"24",24,0.03,0.05,0,0.05,0.1,3,0
"25",25,0,0,0,0,0,2,0
"26",26,0,0,0,0,0,2,0
"27",27,0,0,0,0,0,2,0
"28",28,0,0,0,0,0,2,0
"29",29,0,0,0,0,0,2,0
"30",30,0,0,0,0,0,2,0
"31",31,0,0,0,0,0,2,0
"32",32,0,0,0,0,0,2,0
"33",33,0,0,0,0,0,2,0
"34",34,0,0,0,0,0,2,0
"35",35,0,0,0,0,0,2,0
"36",36,0.03,0.05,0,0.03,5.73,6,1
"37",37,0.02,0.03,0.01,0.02,1.16,3,1
