"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.16,0.73,0,0.06,645.11,27,0.07
"2",2,0.24,0.56,0.01,0.2,741.79,8,0
"3",3,0.16,0.25,0.01,0.18,76.7,4,0
"4",4,0.04,0.08,0,0.04,16.1,7,1
"5",5,0.25,0.37,0.17,0.21,45.94,3,0
"6",6,0.12,0.19,0.05,0.13,78.02,4,0
"7",7,0.07,0.09,0.06,0.07,19.4,3,0
"8",8,0.17,0.24,0.06,0.2,48.95,3,0
"9",9,0.18,0.26,0.09,0.16,159.54,4,0
"10",10,0.15,0.22,0.02,0.22,19.86,3,0
"11",11,0.05,0.05,0.05,0.05,0,2,0
"12",12,0.34,0.34,0.34,0.34,0,2,0
"13",13,0.16,0.16,0.16,0.16,0,2,0
"14",14,0.14,0.14,0.14,0.14,0,2,0
