name,lat,lon,grupo,authority,betweenness,eigen,hub,pagerank,subgraph,degree
02DES0003L,32.5134,-117.00062,1650,5.965530776834182e-5,18,5.9655307768326074e-5,5.965530776834182e-5,0.003484263940087144,246333.4748530516,10
02DES0004K,32.56774,-116.64198,1650,2.2478611756175045e-5,564,2.2478611756030196e-5,2.2478611756175045e-5,0.011732091737426141,33646.13440124314,8
02DES0010V,32.53599,-117.01339,1650,5.068191800868694e-4,754,5.06819180086871e-4,5.068191800868694e-4,0.00737986167308551,3723183.5203608293,25
02DES0012T,32.49318,-117.03352,1650,0.0025432891109715555,870,0.0025432891109715542,0.0025432891109715555,0.01155644628282142,4443336.1555807665,32
02DES0014R,32.5148,-116.99979,1650,1.8402373963993538e-4,108,1.840237396399279e-4,1.8402373963993538e-4,0.0041913438528680385,1325588.6956292072,14
02DES0015Q,32.5238,-116.87222,1650,1.423950698094487e-4,0,1.423950698094659e-4,1.423950698094487e-4,0.0045637744910506615,362352.3702336878,8
02DES0017O,32.46051,-116.93189,1650,0.0015208942106460302,316.6666666666667,0.001520894210646194,0.0015208942106460302,0.012316918054636807,4507473.737254315,29
02DES0018N,32.52959,-117.10887,1650,0.04413112648912231,2225,0.044131126489122374,0.04413112648912231,0.009120597478218131,1298604.326284037,24
02DES0019M,32.40832,-117.04502,1650,9.77522357414945e-4,610,9.7752235741496e-4,9.77522357414945e-4,0.008825589334363981,751218.0422223791,15
02DES0020B,32.53114,-117.05168,1650,0.01063694704085142,1283.3333333333333,0.01063694704085156,0.01063694704085142,0.013301972553896682,5059555.5973661,33
02DES0021A,32.48327,-116.84429,1650,1.34977110047081e-4,131,1.3497711004710936e-4,1.34977110047081e-4,0.005912873148770815,2631657.4084149534,19
02DES0022Z,32.47158,-116.94333,1650,2.1504937820921385e-4,2,2.150493782091968e-4,2.1504937820921385e-4,0.004188610853895278,1041910.6193404575,11
02DES0026W,32.56713,-116.60743,1650,2.9239345833004397e-5,97,2.9239345832946985e-5,2.9239345833004397e-5,0.006504661059300329,43929.22053210174,7
02DES0027V,32.57003,-116.61335,1650,2.3058162784176972e-5,191,2.3058162784150195e-5,2.3058162784176972e-5,0.004970862511817481,33126.340013261295,6
02DES0032G,32.48111,-116.95522,1650,2.14308741406058e-4,15,2.1430874140611139e-4,2.14308741406058e-4,0.0066547123100854835,1436910.995499732,15
02DES0033F,32.50069,-116.86475,1650,8.37496610270369e-4,2587,8.374966102703433e-4,8.37496610270369e-4,0.00839617016344322,5875947.584612358,32
02DES0034E,32.49042,-116.83125,1650,9.535595273749725e-5,215,9.535595273755573e-5,9.535595273749725e-5,0.006484248960904495,2158455.601834863,17
02DES0036C,32.46332,-116.8857,1650,1.2049160203662336e-4,14,1.2049160203664137e-4,1.2049160203662336e-4,0.004794617902136638,1111216.7916624197,11
02DES0037B,32.44682,-116.91973,1650,5.381206232155629e-4,207.99999999999991,5.381206232156388e-4,5.381206232155629e-4,0.008284894087709339,5842521.908880935,27
02DES0038A,32.46035,-116.86922,1650,9.745537350046753e-5,136,9.745537350048108e-5,9.745537350046753e-5,0.005050329420896847,714230.593141578,12
