"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.16,0.61,0.02,0.14,716.58,20,0.05
"2",2,0.1,0.38,0.01,0.08,295.65,14,0.14
"3",3,0.17,0.36,0.01,0.2,512.9,13,0
"4",4,0.08,0.26,0.01,0.06,105.42,17,0.18
"5",5,0.24,0.48,0.01,0.23,554.15,12,0
"6",6,0.16,1.46,0,0.08,4051.37,57,0.28
"7",7,0.05,0.17,0,0.05,131.89,79,0.48
"8",8,0.08,0.17,0.01,0.08,116.62,15,0.07
"9",9,0.09,0.18,0.01,0.09,95.43,7,0.14
"10",10,0.08,0.25,0.01,0.06,110.12,13,0.08
"11",11,0.04,0.09,0.01,0.03,10.76,5,0
"12",12,0.01,0.01,0,0.01,0.08,3,0.33
"13",13,0.08,0.15,0.01,0.08,79.19,10,0
"14",14,0.07,0.12,0.02,0.07,52.54,6,0
"15",15,0.12,0.24,0.05,0.12,39.89,5,0
"16",16,0.08,0.11,0.05,0.06,4.7,3,0
"17",17,0.06,0.06,0.06,0.06,0,2,0
"18",18,0.07,0.12,0.03,0.06,38,6,0
"19",19,0.06,0.11,0.04,0.06,17.5,4,0
"20",20,0.1,0.15,0.06,0.09,0.64,3,0
"21",21,0.01,0.01,0.01,0.01,0,2,0
"22",22,0.03,0.03,0.03,0.03,0,2,0
"23",23,0.08,0.11,0.04,0.08,11.11,3,0
"24",24,0.05,0.05,0.05,0.05,0,2,0
"25",25,0.61,0.61,0.61,0.61,0,2,0
"26",26,0.06,0.06,0.06,0.06,0,2,0
"27",27,0.08,0.08,0.08,0.08,0,2,0
"28",28,0.14,0.14,0.14,0.14,0,2,0
"29",29,0.03,0.03,0.03,0.03,0,2,0
"30",30,0.03,0.03,0.03,0.03,0,2,0
"31",31,0.12,0.12,0.12,0.12,0,2,0
"32",32,0.11,0.11,0.11,0.11,0,2,0
"33",33,0.06,0.09,0.04,0.06,9.74,3,0
"34",34,0.59,0.59,0.59,0.59,0,2,0
"35",35,0.04,0.04,0.04,0.04,0,2,0
"36",36,0.07,0.07,0.07,0.07,0,2,0
"37",37,0.03,0.03,0.03,0.03,0,2,0
"38",38,0.01,0.01,0.01,0.01,0,2,0
"39",39,0.05,0.05,0.05,0.05,0,2,0
"40",40,0.06,0.06,0.06,0.06,0,2,0
