"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.15,0.22,0.02,0.22,19.95,3,0
"2",2,0.34,0.67,0.01,0.32,1246.23,11,0
"3",3,0.34,0.34,0.34,0.34,0,2,0
"4",4,0.16,0.16,0.16,0.16,0,2,0
"5",5,0.13,0.73,0.01,0.06,387.54,16,0
"6",6,0.14,0.14,0.14,0.14,0,2,0
"7",7,0.18,0.26,0.09,0.16,159.61,4,0
"8",8,0.23,0.43,0.01,0.22,169.29,7,0
"9",9,0.05,0.14,0,0.04,42.32,11,0.73
"10",10,0.25,0.37,0.17,0.21,45.81,3,0
"11",11,0.12,0.19,0.05,0.13,78.11,4,0
"12",12,0.17,0.24,0.06,0.2,48.96,3,0
"13",13,0.37,0.55,0.02,0.52,239.2,4,0.25
"14",14,0.05,0.05,0.05,0.05,0,2,0
