"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.08,0.29,0,0.07,209.5,40,1
"2",2,0.07,0.39,0,0.06,223.93,76,0.13
"3",3,0.1,0.51,0,0.08,441.68,82,0.18
"4",4,0.06,0.26,0,0.06,183.61,78,0.29
"5",5,0.11,0.27,0,0.1,187.28,10,0.2
"6",6,0.08,0.38,0,0.06,384.95,120,0.26
"7",7,0.11,0.27,0,0.1,53.8,10,0.2
"8",8,0.02,0.05,0,0.02,8.37,10,0.2
"9",9,0.08,0.23,0.01,0.07,61.62,13,1
"10",10,0.11,0.37,0,0.07,159.55,49,0.18
"11",11,0.07,0.4,0,0.05,344.48,93,0.06
"12",12,0.08,0.2,0,0.07,129.08,11,0.27
"13",13,0.04,0.15,0,0.02,24.23,10,0.1
"14",14,0,0.01,0,0,0.04,4,0
"15",15,0.35,0.52,0.05,0.48,40.03,3,1
"16",16,0.02,0.02,0.02,0.02,0,2,1
"17",17,0.04,0.04,0.04,0.04,0,2,1
"18",18,0.09,0.11,0.08,0.08,28.98,3,1
"19",19,0.01,0.01,0.01,0.01,0,2,1
