"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.06,0.14,0.01,0.05,14.69,5,0.2
"2",2,0.11,0.7,0,0.05,1250.55,44,0.11
"3",3,0.02,0.04,0,0.02,1.26,5,0.2
"4",4,0.06,0.15,0.01,0.05,36.55,8,0.12
"5",5,0.11,0.21,0.01,0.11,22.18,4,0
"6",6,0.03,0.04,0.02,0.03,2.49,3,0
"7",7,0.04,0.07,0.01,0.06,7.21,5,0
"8",8,0.14,0.33,0.02,0.12,24.17,7,0
"9",9,0.05,0.1,0,0.04,3.48,5,0.2
"10",10,0.01,0.01,0.01,0.01,0.14,3,0
"11",11,0.07,0.12,0.03,0.06,9.78,4,0
"12",12,0.07,0.07,0.07,0.07,0,2,0
"13",13,0.04,0.04,0.04,0.04,0,2,0
"14",14,0.03,0.03,0.03,0.03,0,2,0
"15",15,0.41,0.8,0.03,0.4,99.13,4,0
"16",16,0.08,0.11,0.01,0.09,38.33,4,0.5
"17",17,0.17,0.4,0.01,0.04,11.95,5,0.4
"18",18,0.04,0.04,0.04,0.04,0,2,0
"19",19,0.08,0.08,0.08,0.08,0,2,0
"20",20,0.05,0.07,0.03,0.04,2.92,3,0
"21",21,0.04,0.05,0.02,0.04,4.63,3,0
"22",22,0.07,0.12,0.03,0.07,10.59,4,0
"23",23,0.04,0.07,0,0.04,3.48,4,0.25
"24",24,0.08,0.12,0.04,0.08,45.1,5,0
"25",25,0.04,0.05,0.03,0.04,6.27,3,0
"26",26,0.05,0.05,0.05,0.05,0,2,0
"27",27,0.04,0.04,0.04,0.04,0,2,0
"28",28,0.06,0.08,0.02,0.07,12.81,4,0
"29",29,0.05,0.07,0.03,0.05,6.55,3,0
"30",30,0.26,0.26,0.26,0.26,0,2,0
"31",31,0.11,0.11,0.11,0.11,0,2,0
"32",32,0.12,0.12,0.12,0.12,0,2,0
"33",33,0.05,0.05,0.05,0.05,0,2,0
"34",34,0.16,0.16,0.16,0.16,0,2,0
"35",35,0.1,0.1,0.1,0.1,0,2,0
"36",36,0.01,0.02,0.01,0.02,0.83,3,1
"37",37,0.03,0.03,0.02,0.03,2.06,3,1
