name,lat,lon,grupo,authority,betweenness,eigen,hub,pagerank,subgraph,degree
26DES0008Q,27.50196,-109.94649,52,0.25595436760145424,818,0.2559543676014538,0.25595436760145424,0.0176197340601034,18213.049689255866,23
26DES0009P,26.82299,-109.63515,52,0.0029310024325067954,2523,0.0029310024325065525,0.0029310024325067954,0.015691503643124303,92.59379068348916,10
26DES0014A,27.5025,-109.92259,52,0.06946259604103107,409,0.06946259604103099,0.06946259604103107,0.00817331100169661,9705.278749722675,12
26DES0015Z,27.46718,-109.94765,52,0.06462072006260426,214,0.06462072006260407,0.06462072006260426,0.011124736247033817,10164.080576892507,14
26DES0023I,27.09038,-109.42605,52,5.385948193836134e-4,130,5.385948193835379e-4,5.385948193836134e-4,0.008396666678427285,3.9257047749356775,3
26DES0028D,27.5594,-109.94601,52,0.05188086430265138,24,0.05188086430265136,0.05188086430265138,0.007896118820956238,1370.0012682731397,6
26DES0029C,27.05262,-109.46147,52,7.247056193376342e-4,0,7.247056193375822e-4,7.247056193376342e-4,0.00452439906341987,10.438005468855378,3
26DES0034O,27.4864,-109.95499,52,0.08096949328679201,1067,0.0809694932867918,0.08096949328679201,0.009903226938268804,11124.413851093102,15
26DES0037L,27.45839,-109.94709,52,0.046615633133981364,0,0.04661563313398127,0.046615633133981364,0.008957750032293554,6687.955327199554,10
26DES0038K,27.50144,-109.95626,52,0.19891162052121675,107,0.19891162052121727,0.19891162052121675,0.011391525932900787,5905.559013195822,10
26DES0039J,26.97911,-109.65656,52,5.434073883254803e-6,0,5.4340738832132655e-6,5.434073883254803e-6,0.006376682402967057,3.2839895165806094,2
26DES0043W,27.4453,-109.94096,52,0.06960962716628584,8,0.06960962716628577,0.06960962716628584,0.007158345851066592,2349.538383986694,6
26DST0002O,27.47674,-109.94532,52,0.1711263292834126,795,0.17112632928341215,0.1711263292834126,0.013021099528589054,21155.79937508417,22
26DST0005L,27.06628,-109.44964,52,0.003459533307191409,1535,0.00345953330719126,0.003459533307191409,0.010972073283248698,116.74760473882591,9
26DST0007J,27.02208,-109.62868,52,2.2846302627793135e-6,317,2.284630262693204e-6,2.2846302627793135e-6,0.012630414990440767,5.078658231457484,4
26DST0008I,27.29206,-110.03524,52,0.01680055443391564,0,0.016800554433915763,0.01680055443391564,0.008838885118909973,329.1208615397063,3
26DST0010X,26.81659,-109.63131,52,6.943399017688982e-4,213,6.943399017688239e-4,6.943399017688982e-4,0.01190996483046221,8.110506272374328,5
26DST0015S,27.51649,-110.13784,52,0.1566710203625765,0,0.15667102036257602,0.1566710203625765,0.002911313139499803,21.573562647917857,1
26DST0016R,27.57644,-109.94536,52,0.05117386445876739,662,0.05117386445876726,0.05117386445876739,0.01456266696798738,5415.014038469151,14
26DST0022B,27.36821,-109.89276,52,0.012295397276029926,107,0.012295397276029891,0.012295397276029926,0.00665931034703071,714.158366018303,4
26DST0024Z,27.26294,-109.94519,52,0.00736931281944085,0,0.007369312819440863,0.00736931281944085,0.008690063467054813,19.660745771501194,3
26DST0025Z,27.16143,-109.58432,52,1.897064986998801e-17,0,0,1.897064986998801e-17,0.008695652173913044,1.5430806348152446,1
26DST0026Y,27.55425,-110.08685,52,3.6736111213441603e-4,0,3.67361112134381e-4,3.6736111213441603e-4,0.00803674105237763,1.849771710274973,1
26DST0038C,26.95489,-109.6741,52,6.234035474781983e-5,970,6.234035474780911e-5,6.234035474781983e-5,0.007898758020836495,3.045920684025824,2
26DST0045M,27.06947,-109.48597,52,0.001294310798455858,598,0.0012943107984559254,0.001294310798455858,0.012342076148911843,11.634453959712397,4
26DST0046L,27.19696,-109.76589,52,0.015685758715305424,0,0.015685758715305458,0.015685758715305424,0.0038000108220963996,98.18249719662795,1
26DST0048J,27.35156,-110.03846,52,0.006381357987415203,107,0.006381357987415155,0.006381357987415203,0.009075527237677199,196.60944918362685,4
26DST0050Y,26.76707,-109.67225,52,7.102517961456746e-5,0,7.102517961453546e-5,7.102517961456746e-5,0.006939747967273436,2.7885052371673935,2
26DST0052W,26.72053,-109.56118,52,1.0250245610936579e-4,0,1.0250245610931721e-4,1.0250245610936579e-4,0.007062163694237355,2.7307888426558766,2
26DST0053V,27.50967,-109.98408,52,1,354,1,1,0.024612590878517856,2933.535937456757,10
26DST0055T,27.08238,-109.4585,52,9.485892555849199e-4,0,9.485892555848758e-4,9.485892555849199e-4,0.008046364259090128,16.669689688870342,5
26DST0056S,27.46628,-109.92506,52,0.07866499290271299,306,0.0786649929027128,0.07866499290271299,0.015219546933531256,14321.979992326573,17
26DST0063B,26.80016,-109.70191,52,3.904702897484372e-4,318,3.904702897484375e-4,3.904702897484372e-4,0.017932906469607577,5.063251188377176,4
26DST0067Y,27.05396,-109.42646,52,6.194841268857957e-4,98,6.194841268857533e-4,6.194841268857957e-4,0.0052858824470874205,8.259533682876842,3
26DST0079C,26.82795,-109.64569,52,2.7347031917935726e-4,0,2.734703191793772e-4,2.7347031917935726e-4,0.010871427301220664,2.730788842655877,2
26EES0001W,27.48262,-109.93401,52,0.07253591413563032,120,0.07253591413563049,0.07253591413563032,0.009102878386199859,5358.339807135698,8
26EES0002V,27.06427,-109.44383,52,0.002711852411739318,438,0.002711852411739233,0.002711852411739318,0.022730276972042857,26.74291310065318,9
26EES0009O,27.57909,-109.93644,52,0.04517202829251452,2,0.04517202829251447,0.04517202829251452,0.008643814230904883,2948.450306367812,8
26EES0011C,27.46189,-109.92717,52,0.03846333150646299,304,0.03846333150646282,0.03846333150646299,0.012508118171550954,7668.998370084732,14
26EES0017X,26.8272,-109.63341,52,0.001085103862574057,57,0.0010851038625740216,0.001085103862574057,0.009648036438149427,6.58560453776726,3
26EES0019V,26.98112,-109.65233,52,2.4441227909094004e-5,921,2.4441227908874436e-5,2.4441227909094004e-5,0.021864364536165536,10.79509388871374,8
26EES0021J,27.48262,-109.93401,52,0.07603995021776744,678,0.07603995021776744,0.07603995021776744,0.01547985852666714,13177.253929569946,16
26EES0025F,26.91123,-109.62096,52,2.516767900091645e-4,1433,2.516767900090989e-4,2.516767900091645e-4,0.018601321510273484,6.438627111953113,5
26EES0028C,27.12675,-109.84176,52,0.007164663729764071,213,0.007164663729764009,0.007164663729764071,0.009478716211316665,184.7244242033861,4
26EES0032P,27.41402,-110.24689,52,0.032396699884857515,213,0.03239669988485767,0.032396699884857515,0.01407653827622057,70.35995488249571,3
26EST0002N,27.4638,-110.11082,52,0.019013261824963927,85,0.01901326182496392,0.019013261824963927,0.006517108356845206,68.77544842873503,2
26EST0004L,27.4396,-109.92799,52,0.044066447637121815,213,0.04406644763712174,0.044066447637121815,0.00785024367365746,5735.4792448923745,10
26EST0016Q,27.48774,-109.99706,52,0.11240896728038081,2345,0.1124089672803803,0.11240896728038081,0.013423292353081486,9680.26398129332,16
26ETV0001B,27.33028,-109.73784,52,2.331622122087163e-17,0,0,2.331622122087163e-17,0.008695652173913044,1.5430806348152446,1
26ETV0016D,27.42218,-109.81472,52,1.3594522332213059e-17,0,0,1.3594522332213059e-17,0.008695652173913044,1.543080634815244,1
26ETV0041C,27.6297,-109.96661,52,0.0016186117490512547,0,0.0016186117490512505,0.0016186117490512547,0.008296308907002073,1.8497717102749722,1
26ETV0116C,26.78268,-109.51693,52,4.911648011930485e-7,0,4.911648012245149e-7,4.911648011930485e-7,0.008869644627668219,1.594563042576745,1
26ETV0117B,26.77095,-109.63141,52,1.0564926883366811e-4,107,1.0564926883361248e-4,1.0564926883366811e-4,0.012708476160893526,4.428973681599258,3
26ETV0230V,26.93219,-109.61337,52,2.0002099510219196e-5,0,2.0002099510211658e-5,2.0002099510219196e-5,0.005728633549706792,1.5959461337447565,1
26PES0003Z,27.08127,-109.45232,52,0.0025922508505513784,0,0.0025922508505513914,0.0025922508505513784,0.006544097006479866,7.190857972467939,3
26PES0014F,27.51462,-109.93286,52,0.07832600159170328,0,0.07832600159170326,0.07832600159170328,0.008109886581593088,1696.3800500312148,6
26PES0025L,27.50976,-109.93491,52,0.0746448367014359,445,0.07464483670143582,0.0746448367014359,0.014723073308572369,2037.41795782391,11
26PES0038P,27.48261,-109.94243,52,0.015245497729698436,0,0.015245497729698462,0.015245497729698436,0.0036350669091533114,229.36540784340966,2
26PES0040D,27.55556,-109.92944,52,0.025171063154723936,0,0.025171063154723984,0.025171063154723936,0.011448328277461874,96.16499366879034,4
26PES0044Z,27.47905,-109.96109,52,0.0665664095205558,0,0.06656640952055577,0.0665664095205558,0.007768180123999942,3433.1715857972245,8
26PES0059B,27.08686,-109.44716,52,0.004376320249759078,0,0.004376320249759164,0.004376320249759078,0.007935896853231386,3.423080845117267,2
26PES0098D,27.49013,-109.92021,52,0.038296061405945395,0,0.038296061405945346,0.038296061405945395,0.004080295987802918,2332.6682439380706,5
26PES0168I,27.06586,-109.44331,52,0.008605223647305607,211,0.008605223647305609,0.008605223647305607,0.011551682189269098,21.343217081507287,5
26PES0172V,27.49678,-109.95396,52,0.04714182065603003,0,0.04714182065603006,0.04714182065603003,0.008407853447831666,1000.5317714598048,6
26PES0179O,27.49986,-109.94004,52,0.06718498469723282,0,0.06718498469723272,0.06718498469723282,0.011172789845385755,1471.181496003899,7
26PES0183A,27.4926,-109.96283,52,0.009164643233270079,51,0.009164643233270065,0.009164643233270079,0.003974921106136134,18.449875748312014,2
26PES0197D,27.50975,-109.93903,52,0.07918910095803929,0,0.07918910095803933,0.07918910095803929,0.005573496395391875,394.33511559054347,3
26PES0212F,27.49384,-109.93651,52,0.0682921035687737,22,0.06829210356877356,0.0682921035687737,0.00954615821514883,2530.318888845203,9
26PES0216B,27.53212,-109.93589,52,0.01309930907671227,0,0.013099309076712301,0.01309930907671227,0.010870932551302833,9.32911699971068,3
26PES0228G,27.50108,-109.95877,52,0.24978678561969675,658,0.2497867856196962,0.24978678561969675,0.01706291453323926,14013.873113470112,20
26DST0070L,27.5134,-109.91106,52,0.013813691639519706,105,0.013813691639519673,0.013813691639519706,0.0031824199462817788,308.3436158482294,3
26PES0226I,27.50711,-109.93268,52,0.010551143710792384,83,0.010551143710792346,0.010551143710792384,0.004699702699307962,228.8571838313303,3
26PES0253F,27.49279,-109.95664,52,0.18545537890959907,68,0.18545537890959876,0.18545537890959907,0.012939422375037592,8009.809176095411,13
26EST0005K,26.87899,-109.70789,52,6.181580754813672e-5,0,6.181580754810729e-5,6.181580754813672e-5,0.001636274047065298,2.717114952251895,1
26ETV0038P,26.73267,-109.61298,52,2.556732362638096e-4,0,2.556732362637452e-4,2.556732362638096e-4,0.007656005204858457,3.637538922137376,2
26ETV0254E,26.83532,-109.67156,52,1.7841345921161314e-4,103,1.7841345921159758e-4,1.7841345921161314e-4,0.006422593760573253,3.637538922137375,2
26PES0006X,27.000610000000002,-109.53033,52,3.005272671436777e-4,589,3.0052726714358864e-4,3.005272671436777e-4,0.0033732444757088335,8.071577522890491,3
26ETV0019A,27.43002,-110.01858,52,0.007922499971264138,110,0.007922499971264088,0.007922499971264138,0.002374087236657606,629.6464779615211,3
26DST0051X,27.18748,-109.34285,52,1.1813507988076786e-4,0,1.1813507988073372e-4,1.1813507988076786e-4,0.005265946950578421,1.6610358319749299,1
26ETV0013G,27.38394,-110.12182,52,0.0031699595870222576,5,0.0031699595870222086,0.0031699595870222576,0.005488975707921689,2.8187149257549446,2
26EST0013T,27.57113,-109.91355,52,0.007879755730510094,8,0.007879755730510044,0.007879755730510094,0.003526585296090343,189.0185087068635,3
26ETV0015E,27.53849,-109.98099,52,0.43846183471259986,0,0.4384618347125989,0.43846183471259986,0.00758857746618924,118.25145821042412,2
26ETV0130W,27.06171,-109.68609,52,6.644108286458106e-6,0,6.644108286420335e-6,6.644108286458106e-6,0.007366803826746665,3.2839895165806086,2
26ETV0127I,27.00404,-109.58386,52,1.3643551923152656e-6,0,1.3643551922617396e-6,1.3643551923152656e-6,0.004314224602594636,3.4422683903771603,2
26ETV0248U,27.02573,-109.64841,52,3.8546884322705497e-7,0,3.854688432039582e-7,3.8546884322705497e-7,0.00407787275402013,1.7313656049603703,1
26ETV0249T,27.03369,-109.56752,52,8.957163872428718e-7,107,8.957163872384142e-7,8.957163872428718e-7,0.013350523767496347,2.3758563428326824,2
26ETV0141B,27.60911,-109.98516,52,0.0032469728512940477,107,0.003246972851294036,0.0032469728512940477,0.00901265571555299,39.64645862904124,2
26ETV0146X,27.58671,-110.08781,52,0.0011388994580276072,107,0.0011388994580275474,0.0011388994580276072,0.008410091217441183,39.64645862904124,2
26ETV0259Z,27.35203,-109.85266,52,0.0015323098930672735,0,0.0015323098930672583,0.0015323098930672735,0.003603051437182391,6.484377344816781,1
