"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.12,0.28,0,0.12,248.04,14,0
"2",2,0.14,0.8,0,0.08,1687.27,34,0.26
"3",3,0.11,0.23,0,0.12,150.46,9,0
"4",4,0.16,0.39,0.03,0.12,281.8,10,0
"5",5,0.08,0.19,0.01,0.07,76.22,10,0
"6",6,0.22,0.41,0.03,0.28,404.34,6,0
"7",7,0.18,0.45,0.01,0.16,629.15,17,0.06
"8",8,0.06,0.15,0.01,0.06,14.89,6,0.17
"9",9,0.18,0.4,0.01,0.18,326.5,9,0
"10",10,0.31,0.67,0,0.36,1463.09,14,0
"11",11,0.08,0.14,0.01,0.07,36.35,5,0
"12",12,0.13,0.33,0.03,0.12,130.38,8,0
"13",13,0.07,0.14,0.03,0.07,37.9,6,0
"14",14,0.08,0.08,0.08,0.08,0,2,0
"15",15,0.08,0.08,0.08,0.08,0,2,0
"16",16,0.09,0.16,0.04,0.09,29.95,4,0
"17",17,0.1,0.15,0.05,0.1,9,3,0
"18",18,0.01,0.01,0.01,0.01,0,2,0
"19",19,0.15,0.22,0.03,0.2,11.59,3,0
"20",20,0.1,0.15,0.02,0.14,10.43,3,0
"21",21,0.05,0.05,0.05,0.05,0,2,0
"22",22,0.02,0.02,0.02,0.02,0,2,0
"23",23,0.04,0.04,0.04,0.04,0,2,0
"24",24,0.05,0.05,0.05,0.05,0,2,0
"25",25,0.03,0.03,0.03,0.03,0,2,0
"26",26,0.01,0.01,0.01,0.01,0,2,0
"27",27,0.03,0.03,0.03,0.03,0,2,0
"28",28,0.1,0.1,0.1,0.1,0,2,0
"29",29,0.02,0.02,0.02,0.02,0,2,0
