"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.4,7.81,0,0.13,160132,672,0.38
"2",2,0.08,0.1,0.07,0.07,21.26,3,0
"3",3,0.23,0.68,0.01,0.14,384.55,7,0
"4",4,0.35,0.95,0.01,0.1,737,6,0
"5",5,0.47,11.08,0,0.12,168633.91,286,0.18
"6",6,0.04,0.05,0.03,0.05,5.88,3,0
"7",7,0.03,0.03,0.03,0.03,3.19,3,0
"8",8,0.01,0.01,0.01,0.01,0.15,3,1
"9",9,0.07,0.12,0.03,0.07,10.48,4,0
"10",10,0.05,0.08,0.02,0.07,4.35,3,0
"11",11,0.04,0.07,0.01,0.05,0.12,3,0
"12",12,0.05,0.08,0.03,0.06,5.87,3,0
"13",13,0.78,5.19,0,0.46,60655.54,168,0.36
"14",14,0.07,0.13,0.01,0.07,4.07,4,0
"15",15,0.1,0.14,0.07,0.07,13.14,3,0
"16",16,0.08,0.17,0.01,0.08,116.72,15,0.07
"17",17,0.1,0.15,0.06,0.09,0.66,3,0
"18",18,0.06,0.06,0.06,0.06,0,2,0
"19",19,0.06,0.09,0.04,0.06,9.74,3,0
"20",20,0.14,0.14,0.14,0.14,0,2,0
"21",21,0.4,4.37,0,0.14,33103.47,157,0.27
"22",22,0.27,0.42,0.09,0.27,407.77,4,0
"23",23,0.34,0.46,0.05,0.37,633.15,4,0
"24",24,0.1,0.1,0.1,0.1,0,2,0
"25",25,0.16,0.16,0.16,0.16,0,2,0
"26",26,0.11,0.15,0.08,0.08,16.8,3,0
"27",27,0.17,0.17,0.17,0.17,0,2,0
"28",28,0.23,0.23,0.23,0.23,0,2,0
"29",29,0.31,1.97,0,0.24,12362.63,219,0.29
"30",30,0.18,0.28,0.13,0.15,8.29,3,0
"31",31,0.03,0.03,0.03,0.03,0,2,0
"32",32,0.87,4.61,0,0.54,49766.59,128,0.19
"33",33,0.09,0.27,0,0.08,316.61,31,0.19
"34",34,0.34,0.34,0.34,0.34,0,2,0
"35",35,0.05,0.05,0.05,0.05,0,2,0
"36",36,0.36,1.06,0,0.34,2595.79,31,0
"37",37,0.08,0.08,0.08,0.08,0,2,0
"38",38,0.09,0.09,0.09,0.09,0,2,0
"39",39,0.07,0.07,0.07,0.07,0,2,0
"40",40,0.08,0.08,0.08,0.08,0,2,0
"41",41,0.19,0.51,0,0.2,72.55,7,0.29
"42",42,0.1,0.15,0.06,0.09,2.92,3,0
"43",43,0.03,0.03,0.03,0.03,0,2,0
"44",44,0.08,0.12,0.01,0.08,61.22,6,0
"45",45,0,0,0,0,0,2,0
"46",46,0.01,0.01,0.01,0.01,0,2,0
"47",47,2.88,8.48,0,1.16,90512.11,101,0.09
"48",48,0.08,0.16,0,0.08,12.11,4,0
"49",49,0.48,4.9,0,0.33,14217.4,108,0.09
"50",50,0.04,0.08,0,0.04,1.02,4,0.25
"51",51,0.09,0.16,0.04,0.09,29.99,4,0
"52",52,0.07,0.15,0,0.07,63.09,9,0
"53",53,0.11,0.11,0.11,0.11,0,2,0
"54",54,0.06,0.06,0.06,0.06,0,2,0
"55",55,0.05,0.07,0.04,0.04,5.57,3,0
"56",56,0.02,0.02,0.02,0.02,0,2,0
"57",57,0.09,0.13,0.06,0.07,6.96,3,0
"58",58,0.07,0.07,0.07,0.07,0,2,0
"59",59,0.04,0.04,0.04,0.04,0,2,0
"60",60,0.01,0.01,0.01,0.01,0,2,0
"61",61,0.06,0.06,0.06,0.06,0,2,0
"62",62,0.09,0.09,0.09,0.09,0,2,0
"63",63,0.05,0.05,0.05,0.05,0,2,0
"64",64,0.03,0.03,0.03,0.03,0,2,0
"65",65,0.11,0.23,0,0.12,150.3,9,0
"66",66,0.01,0.01,0.01,0.01,0,2,0
"67",67,0.02,0.02,0.02,0.02,0,2,0
"68",68,0.03,0.03,0.03,0.03,0,2,0
"69",69,0.06,0.09,0.04,0.05,3.2,3,0
"70",70,0.07,0.14,0.03,0.07,37.94,6,0
"71",71,0.11,0.15,0.05,0.12,28.93,3,0
"72",72,0.11,0.11,0.11,0.11,0,2,0
"73",73,0.1,0.15,0.02,0.14,10.37,3,0
"74",74,0.02,0.02,0.02,0.02,0,2,0
"75",75,0.02,0.02,0.02,0.02,0,2,0
"76",76,0.09,0.09,0.09,0.09,0,2,0
"77",77,0.18,0.18,0.18,0.18,0,2,0
"78",78,0.07,0.07,0.07,0.07,0,2,0
"79",79,0.03,0.03,0.03,0.03,0,2,0
"80",80,0.05,0.05,0.05,0.05,0,2,0
"81",81,0.07,0.12,0.04,0.07,22.29,4,0
"82",82,0.02,0.02,0.02,0.02,0,2,0
"83",83,0.04,0.04,0.04,0.04,0,2,0
"84",84,0.04,0.06,0.02,0.04,1.36,3,0
"85",85,0.04,0.04,0.04,0.04,0,2,0
"86",86,0.09,0.15,0.04,0.1,49.07,4,0
"87",87,0.08,0.08,0.08,0.08,0,2,0
"88",88,0.24,0.76,0,0.2,1932.36,18,0
"89",89,0.08,0.08,0.08,0.08,0,2,0
"90",90,0.08,0.08,0.08,0.08,0,2,0
"91",91,0.08,0.11,0.06,0.07,13.73,3,0
"92",92,0.08,0.08,0.08,0.08,0,2,0
"93",93,0.1,0.1,0.1,0.1,0,2,0
"94",94,0.55,0.97,0,0.53,2457.01,7,0
"95",95,0.1,0.1,0.1,0.1,0,2,0
"96",96,0.22,0.41,0.03,0.28,403.97,6,0
"97",97,0.96,14.37,0,0.62,147394.26,170,0.16
"98",98,0.41,4.82,0,0.17,75495.67,558,0.22
"99",99,0.05,0.11,0.01,0.05,32.41,9,0
"100",100,0.83,14.04,0,0.08,179056.03,56,1
"101",101,0.08,0.12,0.05,0.07,1.7,3,0
"102",102,0.11,0.21,0.05,0.11,22.22,4,0
"103",103,0.14,0.14,0.14,0.14,0,2,0
"104",104,0.13,0.13,0.13,0.13,0,2,0.5
"105",105,0.13,0.13,0.13,0.13,0,2,0
"106",106,0.08,0.08,0.08,0.08,0,2,0
"107",107,0.12,0.25,0,0.11,130.91,8,0
"108",108,0.77,3.39,0,0.78,49205.13,132,0.2
"109",109,0.83,1.24,0.1,1.16,337.09,3,0
"110",110,0,0,0,0,0,2,0
"111",111,0,0,0,0,0,2,0
"112",112,0.01,0.01,0.01,0.01,0,2,0
"113",113,0,0,0,0,0,2,0
"114",114,0,0,0,0,0,3,0
"115",115,0.01,0.01,0.01,0.01,0,2,0
"116",116,0,0,0,0,0,2,0
"117",117,0,0,0,0,0,2,0
"118",118,0,0,0,0,0,2,0
"119",119,0.01,0.01,0.01,0.01,0,2,0
"120",120,0,0,0,0,0,2,0
"121",121,0.01,0.01,0.01,0.01,0,2,0
"122",122,0,0,0,0,0,2,0
"123",123,0,0,0,0,0,2,0
"124",124,0,0,0,0,0,2,0
"125",125,0,0,0,0,0,2,0
"126",126,0,0,0,0,0,2,0
"127",127,0,0,0,0,0,2,0
"128",128,0.12,0.25,0.01,0.12,52.21,5,0
"129",129,0,0,0,0,0,2,0
"130",130,0,0,0,0,0,2,0
"131",131,0.03,0.05,0,0.05,0.13,3,0
"132",132,0,0,0,0,0,2,0
"133",133,0,0,0,0,0,2,0
"134",134,0,0,0,0,0,2,0
"135",135,0,0,0,0,0,2,0
"136",136,0,0,0,0,0,2,0
"137",137,0,0,0,0,0,2,0
"138",138,0.01,0.01,0.01,0.01,0,2,0
"139",139,0,0,0,0,0,2,0
"140",140,0,0,0,0,0,2,0
"141",141,0,0,0,0,0,2,0
"142",142,0,0,0,0,0,2,0
"143",143,0,0,0,0,0,2,0
"144",144,0,0,0,0,0,2,0
"145",145,0,0,0,0,0,2,0
"146",146,0,0,0,0,0,2,0
"147",147,0,0,0,0,0,2,0
"148",148,0,0,0,0,0,2,0
"149",149,0,0,0,0,0,2,0
"150",150,0,0,0,0,0,2,0
"151",151,0.01,0.01,0.01,0.01,0,2,0
"152",152,0,0,0,0,0,2,0
"153",153,0,0,0,0,0,2,0
"154",154,0,0,0,0,0,2,0
"155",155,0,0,0,0,0,2,0
"156",156,0.03,0.03,0.03,0.03,0,2,0
"157",157,0,0,0,0,0,2,0
"158",158,0,0,0,0,0,2,0
"159",159,0,0,0,0,0,2,0
"160",160,0.23,1.82,0,0.2,4429.14,108,0.31
"161",161,0.07,0.1,0.02,0.1,7.62,3,0
"162",162,0.35,2.95,0,0.25,30631.1,160,0.34
"163",163,0.04,0.04,0.04,0.04,0,2,0
"164",164,0.05,0.13,0,0.05,69.28,12,0.25
"165",165,0.11,0.25,0.01,0.1,199.17,12,0
"166",166,0.32,1.38,0,0.29,3337.28,41,0.27
"167",167,0.09,0.14,0.07,0.07,0.49,3,0
"168",168,0.07,0.08,0.05,0.07,15.09,3,0
"169",169,0.04,0.06,0.03,0.04,4.05,3,0
"170",170,0.05,0.08,0.01,0.07,2.87,3,0.33
"171",171,0.25,0.46,0.01,0.39,187.24,6,0.17
"172",172,0.04,0.04,0.04,0.04,0,2,0
"173",173,0.17,0.33,0.03,0.16,30.77,5,0
"174",174,0.11,0.15,0.06,0.12,77.55,4,0
"175",175,0.06,0.06,0.06,0.06,0,2,0
"176",176,0.13,0.24,0.01,0.15,182.37,7,0
"177",177,0.02,0.02,0.02,0.02,1.64,3,0
"178",178,0.02,0.02,0.02,0.02,0,2,0
"179",179,0.01,0.01,0.01,0.01,0,2,0
"180",180,0.03,0.03,0.03,0.03,0,2,0
"181",181,0.04,0.04,0.04,0.04,0,2,0
"182",182,0.01,0.01,0.01,0.01,0,2,0
"183",183,0.09,0.09,0.09,0.09,0,2,0
"184",184,0.04,0.04,0.04,0.04,0,2,0
"185",185,0.02,0.02,0.02,0.02,0,2,0
"186",186,0,0,0,0,0,2,0
"187",187,0.05,0.07,0.03,0.06,8.45,3,0
"188",188,0.06,0.06,0.06,0.06,0,2,0
"189",189,0.2,0.31,0.03,0.25,340.19,6,0
"190",190,0.03,0.03,0.03,0.03,0,2,0
"191",191,0.02,0.03,0.01,0.03,0.12,3,0
"192",192,0.05,0.05,0.05,0.05,0,2,0
"193",193,0.03,0.03,0.03,0.03,0,2,0
"194",194,0.06,0.09,0.03,0.06,6.44,3,0
"195",195,0.02,0.02,0.02,0.02,0,2,0
"196",196,0.02,0.02,0.02,0.02,0,2,0
"197",197,0.06,0.16,0.01,0.05,66.98,8,0.12
"198",198,0.06,0.06,0.06,0.06,0,2,0
"199",199,0.12,0.17,0.06,0.12,6.46,3,0.33
"200",200,0.28,0.71,0,0.25,1020.98,27,0.15
"201",201,0.04,0.04,0.04,0.04,0,2,0
"202",202,0.05,0.07,0.03,0.05,6.2,3,0
"203",203,0.07,0.07,0.07,0.07,0,2,0
"204",204,0.04,0.04,0.04,0.04,0,2,0
"205",205,0.04,0.04,0.04,0.04,0,2,0
"206",206,0.04,0.04,0.04,0.04,0,2,0
"207",207,0.04,0.04,0.04,0.04,0,2,0
"208",208,0.04,0.04,0.04,0.04,0,2,0
"209",209,0.1,0.1,0.1,0.1,0,2,0
"210",210,0.02,0.02,0.02,0.02,0,2,0
"211",211,0.06,0.06,0.06,0.06,0,2,0
"212",212,1.7,5.62,0,1.41,10559.18,91,0.21
"213",213,0.13,3.57,0,0.07,10247.72,205,0.5
"214",214,0.07,0.15,0.01,0.07,73.04,9,0.11
"215",215,0.12,0.18,0.01,0.17,9.43,3,0
"216",216,2.41,4.66,0,1.23,27920.18,18,0.33
"217",217,0.04,0.06,0.01,0.06,1.41,3,0
"218",218,0.35,0.35,0.35,0.35,0,2,0
"219",219,0.07,0.12,0.02,0.07,12.31,4,0
"220",220,0.01,0.01,0.01,0.01,0,2,0
"221",221,0.06,0.06,0.06,0.06,0,2,0
"222",222,0.09,0.09,0.09,0.09,0,2,0
"223",223,0.09,0.18,0.01,0.09,9.75,4,0
"224",224,0.05,0.05,0.05,0.05,0,2,0
"225",225,0.08,0.08,0.08,0.08,0,2,0
"226",226,0.09,0.09,0.09,0.09,0,2,0
"227",227,0.02,0.02,0.02,0.02,0,2,0
"228",228,1.09,7.31,0,0.9,128673.8,121,0.18
"229",229,0.01,0.01,0.01,0.01,0,2,1
"230",230,0,0,0,0,0,2,0
"231",231,0.17,0.46,0.03,0.1,245.76,8,0
"232",232,0.03,0.05,0.01,0.03,4.68,4,0
"233",233,0.08,0.08,0.08,0.08,0,2,0
"234",234,0.08,0.16,0.04,0.07,30.6,5,0
"235",235,0.34,1.93,0,0.2,4167.3,73,0.15
"236",236,0.05,0.07,0.01,0.05,20.75,5,0
"237",237,0.06,0.08,0.04,0.07,11.83,3,0
"238",238,0.07,0.13,0.03,0.06,23.98,5,0
"239",239,0.04,0.04,0.04,0.04,0,2,0
"240",240,0.05,0.09,0.01,0.05,37.71,9,0
"241",241,0.16,0.4,0,0.13,415.68,21,0.05
"242",242,0.06,0.14,0.02,0.05,36.57,7,0
"243",243,0.26,1.68,0,0.2,4330.85,46,0.11
"244",244,0.05,0.05,0.05,0.05,0,2,0
"245",245,0.04,0.04,0.04,0.04,0,2,0
"246",246,0.07,0.09,0.04,0.08,36.47,4,0
"247",247,0.05,0.05,0.05,0.05,0,2,0
"248",248,0.09,0.13,0.02,0.12,41.02,4,0
"249",249,0.03,0.03,0.03,0.03,0,2,0
"250",250,0.1,0.1,0.1,0.1,0,2,0
"251",251,0.33,1.21,0,0.32,5753.97,84,0.23
"252",252,0.04,0.04,0.04,0.04,0,2,0
"253",253,0.03,0.03,0.03,0.03,0,2,0
"254",254,0.04,0.04,0.04,0.04,0,2,0
"255",255,0.03,0.03,0.03,0.03,0,2,0
"256",256,0.06,0.06,0.06,0.06,0,2,0
"257",257,3.15,6.87,0.01,1.38,40213.62,24,0.04
"258",258,0.02,0.02,0.02,0.02,0,2,0
"259",259,0.09,0.15,0.05,0.1,42.31,4,0
"260",260,0.03,0.03,0.03,0.03,0,2,0
"261",261,0.03,0.03,0.03,0.03,0,2,0
"262",262,0.03,0.03,0.03,0.03,0,2,0
"263",263,0.03,0.03,0.03,0.03,0,2,0
