"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.05,0.05,0.05,0.05,0,2,0
"2",2,0.03,0.09,0,0.03,29.99,18,0.61
"3",3,0.04,0.11,0,0.03,12.19,8,0.25
"4",4,0.06,0.09,0.04,0.06,9.87,3,0
"5",5,0.05,0.21,0,0.04,57.99,30,0.37
"6",6,0.08,0.3,0,0.04,136.28,21,0.1
"7",7,0.02,0.02,0.02,0.02,0,2,0
"8",8,0.08,0.2,0,0.05,44.39,7,0
"9",9,0.05,0.16,0,0.04,87.86,27,0.96
"10",10,0.01,0.02,0.01,0.01,0.05,3,1
"11",11,0.03,0.05,0.01,0.03,4.9,5,1
"12",12,0.04,0.09,0.01,0.03,2.53,5,1
"13",13,0.03,0.03,0.03,0.03,0,2,1
