name,grupo,sub_grupo
05DES0012Q,638,1
05DES0038Y,638,1
05DES0046G,638,1
05DES0057M,638,1
05DES0061Z,638,1
05DES0076A,638,1
05DES0082L,638,1
05DES0083K,638,1
05DST0023O,638,1
05DST0028J,638,1
05DST0041D,638,1
05DST0056F,638,1
05DST0074V,638,1
05DST0080F,638,1
05DST0081E,638,1
05EES0018J,638,1
05EES0019I,638,1
05EES0033B,638,1
05PES0132H,638,1
05PES0181Q,638,1
05DES0064W,638,2
05DES0072E,638,2
05DES0073D,638,2
05DES0081M,638,2
05DST0082D,638,2
05EST0004Z,638,2
05EST0011I,638,2
05EST0015E,638,2
05PES0152V,638,2
05PES0167X,638,2
05DES0075B,638,3
05PES0008I,638,3
05PES0011W,638,3
05PES0012V,638,3
05PES0025Z,638,3
05PES0049I,638,3
05PES0067Y,638,3
05PES0082Q,638,3
05PES0083P,638,3
05PES0095U,638,3
05PES0098R,638,3
05PES0108H,638,3
05PES0116Q,638,3
05PES0136D,638,3
05PES0141P,638,3
05PES0162B,638,3
05PES0151W,638,3
05PES0096T,638,3
05PES0168W,638,3
05PES0134F,638,3
05PES0174G,638,3
05DES0024V,638,4
05DES0056N,638,4
05DES0063X,638,4
05DST0004Z,638,4
05DST0037R,638,4
05DST0066M,638,4
05EES0003H,638,4
05EES0005F,638,4
05EST0001B,638,4
05PES0010X,638,4
05PES0031J,638,4
05PES0053V,638,4
05PES0107I,638,4
05PES0125Y,638,4
05PES0139A,638,4
05PES0148I,638,4
05PES0175F,638,4
05PES0131I,638,4
05PST0024S,638,4
05PST0013M,638,4
05DES0007E,638,5
05DES0022X,638,5
05DES0028R,638,5
05DES0029Q,638,5
05DES0042K,638,5
05DES0062Y,638,5
05DST0072X,638,5
05DTV0049J,638,5
05EES0004G,638,5
05EES0075A,638,5
05EST0007W,638,5
05EST0016D,638,5
05EST0031W,638,5
05PES0068X,638,5
05PES0103M,638,5
05PST0011O,638,5
05EST0026K,638,5
05PST0004E,638,5
05PES0140Q,638,5
05PES0110W,638,5
05DTV0072K,638,5
05DTV0091Z,638,6
05EST0006X,638,6
05EST0028I,638,6
