"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.19,0.97,0,0.09,2085.14,33,0.33
"2",2,0.11,0.21,0.01,0.11,24.59,4,0
"3",3,0.32,1.54,0,0.06,7041.2,32,0.16
"4",4,0.17,0.75,0,0.07,1450.3,33,0.18
"5",5,0.03,0.05,0.01,0.03,8,6,0.5
"6",6,0.13,0.13,0.13,0.13,0,2,0
"7",7,0.19,0.33,0.01,0.17,100.11,6,0
"8",8,0.12,0.22,0.02,0.1,73.74,6,0
"9",9,0.15,0.45,0,0.04,184.36,11,0.36
"10",10,0.18,0.56,0.01,0.16,504.11,12,0
"11",11,0.15,0.32,0.01,0.17,340.31,9,0.11
"12",12,0.31,0.74,0.01,0.36,857.05,9,0
"13",13,0.85,0.85,0.85,0.85,0,2,0
"14",14,0.09,0.09,0.09,0.09,0,2,0
"15",15,0.02,0.02,0.02,0.02,0,2,0
"16",16,0.06,0.06,0.06,0.06,0,2,0
"17",17,0.14,0.36,0.01,0.11,267.42,10,0.2
"18",18,0.12,0.12,0.12,0.12,0,2,0
"19",19,0.03,0.03,0.03,0.03,0,2,0
"20",20,0.05,0.1,0,0.06,35.43,7,0.43
"21",21,0.05,0.09,0.01,0.04,24.95,6,0
"22",22,0.35,0.78,0.04,0.3,1418.64,12,0
"23",23,0.03,0.03,0.03,0.03,0,2,0
"24",24,0.07,0.09,0.06,0.06,14.42,3,0
"25",25,0.11,0.2,0.01,0.12,157.36,10,0.2
"26",26,0.3,0.3,0.3,0.3,0,2,0
"27",27,0.05,0.05,0.05,0.05,0,2,0
"28",28,0.13,0.13,0.13,0.13,0,2,0
"29",29,0.12,0.12,0.12,0.12,0,2,0
"30",30,0.06,0.29,0,0.05,222.39,65,0.78
