"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.17,0.97,0,0.07,2084.78,31,0.35
"2",2,0.08,0.15,0.01,0.08,6.45,4,0
"3",3,0.13,0.13,0.13,0.13,0,2,0
"4",4,0.06,0.1,0.02,0.07,17.55,4,0
"5",5,0.08,0.08,0.08,0.08,0,2,0
"6",6,0.06,0.06,0.06,0.06,0,2,0
"7",7,0.05,0.05,0.05,0.05,0,2,0
"8",8,0.29,1.54,0,0.08,7147.28,37,0.14
"9",9,0.04,0.11,0,0.04,49.04,20,0.25
"10",10,0.21,0.26,0.16,0.21,157.31,3,0
"11",11,0.06,0.1,0,0.07,35.47,5,0.2
"12",12,0.21,0.44,0.01,0.09,182.05,7,0
"13",13,0.1,0.3,0.01,0.06,64.39,7,0.14
"14",14,0.22,0.56,0.01,0.16,444.85,7,0
"15",15,0.07,0.18,0.01,0.03,11.45,5,0.4
"16",16,0.05,0.05,0.05,0.05,0,2,0
"17",17,0.1,0.19,0.02,0.11,30.61,5,0
"18",18,0.08,0.16,0.01,0.06,50.84,6,0
"19",19,0.11,0.21,0.01,0.11,24.41,4,0
"20",20,0.05,0.09,0.01,0.04,25.02,6,0
"21",21,0.08,0.13,0.01,0.09,46.51,5,0
"22",22,0.08,0.1,0.02,0.09,34.26,4,0
"23",23,0.23,0.34,0.11,0.24,22.08,3,0
"24",24,0.85,0.85,0.85,0.85,0,2,0
"25",25,0.09,0.09,0.09,0.09,0,2,0
"26",26,0.02,0.02,0.02,0.02,0,2,0
"27",27,0.06,0.06,0.06,0.06,0,2,0
"28",28,0.13,0.33,0.01,0.09,168.13,7,0.29
"29",29,0.12,0.12,0.12,0.12,0,2,0
"30",30,0.17,0.17,0.17,0.17,0,2,0
"31",31,0.03,0.03,0.03,0.03,0,2,0
"32",32,0.24,0.38,0.01,0.27,301.4,4,0
"33",33,0.05,0.05,0.05,0.05,0,2,0
"34",34,0.05,0.12,0,0.04,60.67,38,0.89
"35",35,0.15,0.15,0.15,0.15,0,2,0
"36",36,0.08,0.11,0.04,0.09,16.82,3,0
"37",37,0.06,0.17,0.01,0.04,56.11,8,0.88
"38",38,0.02,0.04,0.01,0.02,2.15,4,0.75
"39",39,0.05,0.05,0.05,0.05,0,2,0
"40",40,0.03,0.03,0.03,0.03,0,2,0
"41",41,0.08,0.08,0.08,0.08,0,2,0
"42",42,0.05,0.05,0.05,0.05,0,2,0
"43",43,0.07,0.09,0.06,0.06,14.48,3,0
"44",44,0.05,0.05,0.05,0.05,0,2,0
"45",45,0.04,0.05,0.02,0.04,3.98,3,0
"46",46,0.3,0.3,0.3,0.3,0,2,0
"47",47,0.05,0.05,0.05,0.05,0,2,0
"48",48,0.13,0.13,0.13,0.13,0,2,0
"49",49,0.12,0.12,0.12,0.12,0,2,0
"50",50,0.1,0.1,0.1,0.1,0,2,0
"51",51,0.04,0.04,0.04,0.04,0,2,1
"52",52,0.02,0.03,0.01,0.02,1.78,4,1
"53",53,0.01,0.01,0.01,0.01,0,2,1
"54",54,0.02,0.03,0.01,0.02,0.33,3,1
"55",55,0.06,0.09,0.04,0.06,21.75,4,1
"56",56,0.01,0.01,0.01,0.01,0,2,1
