"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.07,0.73,0,0.05,435.84,62,0.24
"2",2,0.01,0.01,0,0.01,0.09,3,0.33
"3",3,0.12,0.24,0.05,0.12,39.87,5,0
"4",4,0.05,0.14,0.01,0.05,48.59,15,0.2
"5",5,0.17,0.36,0.01,0.2,512.89,13,0
"6",6,0.08,0.17,0.01,0.08,116.5,15,0.07
"7",7,0.24,0.48,0.01,0.23,553.47,12,0
"8",8,0.1,0.15,0.06,0.09,0.56,3,0
"9",9,0.17,0.61,0.03,0.15,669.92,16,0
"10",10,0.06,0.06,0.06,0.06,0,2,0
"11",11,0.06,0.09,0.04,0.06,9.64,3,0
"12",12,0.14,0.14,0.14,0.14,0,2,0
"13",13,0.61,0.61,0.61,0.61,0,2,0
"14",14,0.06,0.13,0,0.05,72.21,25,0.96
"15",15,0.11,0.11,0.11,0.11,0,2,0
"16",16,0.1,0.38,0.01,0.08,295.6,14,0.14
"17",17,0.04,0.09,0.01,0.03,10.8,5,0
"18",18,0.07,0.12,0.03,0.06,38.17,6,0
"19",19,0.08,0.11,0.04,0.08,11.16,3,0
"20",20,0.06,0.11,0.04,0.06,17.55,4,0
"21",21,0.06,0.06,0.06,0.06,0,2,0
"22",22,0.08,0.08,0.08,0.08,0,2,0
"23",23,0.03,0.03,0.03,0.03,0,2,0
"24",24,0.08,0.11,0.05,0.06,4.67,3,0
"25",25,0.05,0.05,0.05,0.05,0,2,0
"26",26,0.05,0.05,0.05,0.05,0,2,0
"27",27,0.17,1.46,0,0.09,4050.46,59,0.27
"28",28,0.04,0.04,0.04,0.04,0,2,0
"29",29,0.03,0.03,0.03,0.03,0,2,0
"30",30,0.01,0.01,0.01,0.01,0,2,0
"31",31,0.03,0.03,0.03,0.03,0,2,0
"32",32,0.07,0.07,0.07,0.07,0,2,0
"33",33,0.03,0.03,0.03,0.03,0,2,0
"34",34,0.09,0.18,0.01,0.09,95.59,7,0.14
"35",35,0.12,0.12,0.12,0.12,0,2,0
"36",36,0.08,0.15,0.01,0.08,79.19,10,0
"37",37,0.08,0.25,0.01,0.06,110.01,13,0.08
"38",38,0.07,0.12,0.02,0.07,52.41,6,0
"39",39,0.06,0.06,0.06,0.06,0,2,0
