"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.07,0.16,0.01,0.07,87.34,10,0
"2",2,0.63,0.91,0.09,0.86,857.98,4,0
"3",3,0.05,0.08,0.01,0.06,26.17,6,0
"4",4,0.1,0.24,0.01,0.06,117.99,7,0.14
"5",5,0.09,0.15,0,0.09,30.47,4,0
"6",6,0.15,0.31,0.02,0.08,114.14,5,0
"7",7,0.08,0.47,0,0.05,363.66,31,0.32
"8",8,0.03,0.08,0,0.03,8.13,7,1
"9",9,0.05,0.05,0.05,0.05,0,2,0
"10",10,0.09,0.18,0.01,0.1,51.57,5,0
"11",11,0.08,0.12,0.02,0.1,1.61,3,0
"12",12,0.1,0.18,0.03,0.08,41.91,5,0
"13",13,0.06,0.08,0.04,0.07,26.35,4,0
"14",14,0.13,0.19,0.04,0.16,7.1,3,0
"15",15,0.05,0.08,0.04,0.05,4.07,3,0
"16",16,0.02,0.04,0.01,0.02,1.25,4,1
"17",17,0.03,0.03,0.03,0.03,0,2,0
"18",18,0.06,0.06,0.06,0.06,0,2,0
"19",19,0.04,0.04,0.04,0.04,0,2,0
"20",20,0.02,0.02,0.02,0.02,0,2,0
"21",21,0.08,0.08,0.08,0.08,0,2,0
"22",22,0.06,0.06,0.06,0.06,0,2,0
