"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.05,0.12,0.01,0.04,32.83,14,0.64
"2",2,0.06,0.06,0.06,0.06,0,2,0
"3",3,0.08,0.08,0.08,0.08,0,2,0
"4",4,0.02,0.02,0.02,0.02,0,2,0
"5",5,0.13,0.32,0.01,0.11,288.79,9,0.11
"6",6,0.1,0.22,0.02,0.09,55.86,7,0.14
"7",7,0.07,0.21,0,0.05,86.13,13,0
"8",8,0.2,0.9,0.01,0.09,959.93,13,0
"9",9,0.13,0.19,0.04,0.16,7.07,3,0
"10",10,0.09,0.2,0.01,0.08,136.78,11,0
"11",11,0.06,0.08,0.04,0.07,26.31,4,0
"12",12,0.04,0.08,0.01,0.04,8.09,6,1
"13",13,0.05,0.08,0.04,0.05,4.06,3,0
"14",14,0.03,0.03,0.03,0.03,0,2,0
"15",15,0.23,0.45,0,0.21,537.86,10,0
"16",16,0.15,0.31,0.02,0.08,113.75,5,0
"17",17,0.04,0.04,0.04,0.04,0,2,0
"18",18,0.45,0.45,0.45,0.45,0,2,0
"19",19,NA,-Inf,Inf,NA,0,1,1
"20",20,0.02,0.04,0.01,0.02,1.24,4,1
