"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.21,0.87,0.01,0.06,169.67,10,0.2
"2",2,0.06,0.15,0,0.05,86.21,38,0.24
"3",3,0.02,0.02,0.01,0.02,0.2,3,0.33
"4",4,0.05,0.08,0,0.06,7.06,5,0
"5",5,0.03,0.06,0,0.03,10.61,9,0.11
"6",6,0.04,0.06,0.02,0.04,5.86,4,0.25
"7",7,0.05,0.1,0,0.05,34.25,10,0.6
"8",8,0.08,0.37,0,0.07,270.77,53,0.19
"9",9,0.05,0.13,0,0.04,48.76,15,0.87
"10",10,0.08,0.21,0,0.06,58.28,8,0
"11",11,0.06,0.11,0,0.1,15.41,8,0.5
"12",12,0.01,0.02,0,0.02,1,4,0
"13",13,0.17,0.36,0.01,0.12,151.21,7,0
"14",14,0.04,0.06,0.01,0.06,2.5,3,0.67
"15",15,0.07,0.1,0.02,0.08,3.36,3,0
"16",16,0.03,0.05,0,0.03,3.78,6,0.17
"17",17,0.05,0.07,0.02,0.07,6.5,3,0
"18",18,0.16,0.16,0.16,0.16,0,2,0
"19",19,0.02,0.03,0.01,0.03,1.02,3,0
"20",20,0.02,0.04,0.01,0.03,0,3,0.33
"21",21,0,0.01,0,0.01,0,3,0.33
"22",22,0.01,0.02,0,0.01,0.52,5,0.2
"23",23,0.05,0.05,0.05,0.05,0,2,0
"24",24,0.04,0.06,0.02,0.05,0.4,3,0.33
"25",25,0.02,0.03,0,0.03,0,3,0.33
"26",26,0.06,0.06,0.06,0.06,0,2,0
"27",27,0.1,0.1,0.1,0.1,0,2,0
"28",28,0.03,0.03,0.03,0.03,0,2,1
"29",29,0.01,0.01,0.01,0.01,0,2,1
"30",30,0.32,0.89,0.01,0.07,195.74,10,1
"31",31,0.06,0.11,0.01,0.08,9.56,5,1
"32",32,0.02,0.02,0.02,0.02,0,2,1
"33",33,0.01,0.01,0,0.01,0.43,4,1
"34",34,0.02,0.04,0,0.02,1.21,4,1
"35",35,0.04,0.05,0.01,0.05,1.14,3,1
"36",36,0.2,0.2,0.2,0.2,0,2,1
