"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.05,0.13,0,0.04,58.06,27,1
"2",2,0.09,0.42,0,0.06,669.25,34,0.18
"3",3,0.06,0.25,0,0.04,93.21,17,0.71
"4",4,0.09,0.51,0,0.04,630.23,26,0.19
"5",5,0.06,0.17,0,0.05,89.17,20,0.6
"6",6,0.08,0.16,0.01,0.06,50.87,6,0
"7",7,0.08,0.11,0.04,0.09,16.79,3,0
"8",8,0.11,0.2,0.01,0.15,120.93,8,0.25
"9",9,0.13,0.36,0.01,0.09,215.87,9,0.22
"10",10,0.05,0.1,0,0.06,35.39,7,0.43
"11",11,0.05,0.09,0.01,0.04,25.01,6,0
"12",12,0.07,0.09,0.06,0.06,14.45,3,0
"13",13,0.06,0.06,0.06,0.06,0,2,0
"14",14,0.03,0.03,0.03,0.03,0,2,0
"15",15,0.09,0.09,0.09,0.09,0,2,0
"16",16,0.05,0.05,0.05,0.05,0,2,0
"17",17,0.05,0.05,0.05,0.05,0,2,0
"18",18,0.1,0.1,0.1,0.1,0,2,0
"19",19,0.13,0.13,0.13,0.13,0,2,0
