"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.45,0.81,0.02,0.68,311.34,7,0
"2",2,0.06,0.14,0.01,0.05,44.52,7,0.14
"3",3,0.14,0.51,0,0.1,322.84,10,0.3
"4",4,0.12,0.7,0,0.06,1252.2,44,0.05
"5",5,0.07,0.15,0.01,0.06,56.84,7,0.29
"6",6,0.05,0.1,0,0.04,3.49,5,0.2
"7",7,0.06,0.15,0.01,0.05,36.23,7,0.14
"8",8,0.14,0.33,0.02,0.12,24.17,7,0
"9",9,0.07,0.12,0.03,0.06,9.78,4,0
"10",10,0.07,0.12,0.03,0.07,10.61,4,0
"11",11,0.11,0.21,0.01,0.11,22.36,4,0
"12",12,0.02,0.04,0,0.02,4.49,10,0.8
"13",13,0.07,0.07,0.07,0.07,0,2,0
"14",14,0.03,0.05,0.02,0.03,1.45,3,0
"15",15,0.04,0.07,0,0.04,3.47,4,0.25
"16",16,0.04,0.05,0.03,0.04,6.3,3,0
"17",17,0.08,0.12,0.04,0.08,45.05,5,0
"18",18,0.03,0.04,0.02,0.03,2.49,3,0
"19",19,0.02,0.04,0,0.02,1.27,5,0.2
"20",20,0.05,0.07,0.03,0.05,6.54,3,0
"21",21,0.06,0.08,0.02,0.07,12.89,4,0
"22",22,0.26,0.26,0.26,0.26,0,2,0
"23",23,0.04,0.04,0.04,0.04,0,2,0
"24",24,0.01,0.01,0.01,0.01,0.14,3,0
"25",25,0.08,0.08,0.08,0.08,0,2,0
"26",26,0.16,0.16,0.16,0.16,0,2,0
"27",27,0.1,0.1,0.1,0.1,0,2,0
"28",28,0.04,0.04,0.04,0.04,0,2,0
"29",29,0.04,0.04,0.04,0.04,0,2,0
"30",30,0.05,0.05,0.05,0.05,0,2,0
