"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.08,0.15,0.03,0.08,16.14,4,0
"2",2,0.04,0.09,0,0.04,15.95,9,0.89
"3",3,0.06,0.06,0.06,0.06,0,2,0
"4",4,0.03,0.03,0.03,0.03,0,2,0
"5",5,0.03,0.03,0.03,0.03,0,2,0
"6",6,0.02,0.02,0.02,0.02,0,2,1
"7",7,0.05,0.12,0.01,0.05,53.9,10,0.2
"8",8,0.03,0.08,0,0.03,13.29,10,0.4
"9",9,0.04,0.06,0.01,0.04,11.68,5,0.4
"10",10,0.04,0.1,0,0.03,13.06,10,1
"11",11,0.06,0.09,0.03,0.07,5.56,3,0
"12",12,0.02,0.02,0.02,0.02,0,2,0.5
