"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.52,1.34,0,0.49,7533.23,114,0.1
"2",2,0.07,0.14,0.03,0.07,37.96,6,0
"3",3,0.08,0.08,0.08,0.08,0,2,0
"4",4,0.1,0.15,0.05,0.1,8.99,3,0
"5",5,0.11,0.23,0,0.12,150.27,9,0
"6",6,0.01,0.01,0.01,0.01,0,2,0
"7",7,0.15,0.22,0.03,0.2,11.48,3,0
"8",8,0.09,0.16,0.04,0.09,30.13,4,0
"9",9,0.22,0.41,0.03,0.28,404.51,6,0
"10",10,0.01,0.01,0.01,0.01,0,2,0
"11",11,0.02,0.02,0.02,0.02,0,2,0
"12",12,0.03,0.03,0.03,0.03,0,2,0
"13",13,0.1,0.15,0.02,0.14,10.4,3,0
"14",14,0.02,0.02,0.02,0.02,0,2,0
"15",15,0.03,0.03,0.03,0.03,0,2,0
"16",16,0.05,0.05,0.05,0.05,0,2,0
"17",17,0.04,0.04,0.04,0.04,0,2,0
"18",18,0.08,0.08,0.08,0.08,0,2,0
"19",19,0.1,0.1,0.1,0.1,0,2,0
"20",20,0.1,0.28,0.01,0.08,163.28,15,0
