"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.23,0.23,0.23,0.23,0,2,0
"2",2,0.2,0.33,0.05,0.17,66.8,4,0
"3",3,0.24,0.4,0.07,0.22,147.16,4,0
"4",4,0.31,1.66,0,0.12,3871.98,21,0.24
"5",5,0.09,0.14,0.01,0.13,5.61,3,0.33
"6",6,0.12,0.17,0.03,0.15,7.07,3,0
"7",7,0.12,0.13,0.1,0.12,50.91,3,0
"8",8,0.17,0.17,0.17,0.17,0,2,0
"9",9,0,0,0,0,0,2,0
"10",10,0,0,0,0,0,2,0
"11",11,0,0,0,0,0,2,0
"12",12,0,0,0,0,0,2,0
"13",13,0,0,0,0,0,2,0
"14",14,0.06,0.08,0.04,0.07,12.02,3,0
"15",15,0.22,0.22,0.22,0.22,0,2,0
"16",16,0.18,0.18,0.18,0.18,0,2,0
"17",17,0.07,0.07,0.07,0.07,0,2,0
"18",18,0.16,0.16,0.16,0.16,0,2,0
"19",19,0.14,0.14,0.14,0.14,0,2,0
"20",20,1.23,1.23,1.23,1.23,0,2,0
"21",21,0.05,0.05,0.05,0.05,0,2,0
"22",22,0.05,0.05,0.05,0.05,0,2,0
"23",23,0.1,0.1,0.1,0.1,0,2,0
"24",24,0,0,0,0,0,2,0
"25",25,0.06,0.06,0.06,0.06,0,2,0
"26",26,0.11,0.21,0.02,0.11,63.06,6,0
"27",27,0.07,0.12,0.02,0.07,19.99,4,0
"28",28,0.08,0.08,0.08,0.08,0,2,0
"29",29,0.02,0.02,0.02,0.02,0,2,0
"30",30,0.5,0.5,0.5,0.5,0,2,0
"31",31,0.72,1.75,0,0.39,4705.14,15,0.07
"32",32,0.23,0.57,0.06,0.17,683.75,8,0
"33",33,0.17,0.31,0,0.16,96.05,5,0
"34",34,0.19,0.52,0,0.19,843.4,16,0.06
"35",35,0.3,1.04,0.02,0.25,1401.26,14,0.07
"36",36,0.26,0.95,0,0.06,671.46,11,0
"37",37,0.36,1.25,0,0.22,1426.99,9,0.22
"38",38,0.62,1.82,0,0.27,5579.42,32,0.16
"39",39,0.06,0.18,0,0.05,104.65,16,0.38
"40",40,0.45,2.1,0,0.24,9956.41,38,0.18
"41",41,0.22,1.27,0,0.09,2468.86,38,0.08
"42",42,0.16,0.39,0.02,0.15,206.28,8,0
"43",43,0.33,1.49,0,0.24,7908.59,53,0.32
"44",44,0.03,0.03,0.03,0.03,0,2,0
"45",45,0,0,0,0,0,2,0
"46",46,0.11,0.2,0.02,0.1,11.35,4,0
"47",47,0.45,4.69,0,0.22,17470.14,70,0.24
"48",48,1.29,3.5,0,1.21,11512.22,17,0.24
"49",49,0.07,0.07,0.07,0.07,0,2,0
"50",50,0.06,0.11,0,0.1,7.42,5,1
"51",51,0.15,0.56,0.01,0.1,292.65,16,0
"52",52,0.11,0.36,0.01,0.1,307.37,16,0
"53",53,0.36,1.15,0.01,0.21,1938.08,13,0.15
"54",54,0.09,0.77,0,0.04,313.56,28,0.68
"55",55,0.37,0.83,0.01,0.33,511.52,8,0
"56",56,0.37,0.66,0.05,0.49,273.99,5,0
"57",57,0.24,0.78,0,0.11,793.2,14,0.14
"58",58,0.29,0.68,0,0.05,108.84,5,0
"59",59,0,0,0,0,0,2,0
"60",60,0.09,0.13,0.02,0.09,65.47,5,0
