name,grupo,sub_grupo
24DES0011F,121,1
24DES0018Z,121,2
24DES0025I,121,2
24DES0026H,121,2
24DES0056B,121,2
24DES0072T,121,2
24DST0018R,121,2
24DST0022D,121,2
24DST0040T,121,2
24DST0067Z,121,2
24DST0072L,121,2
24DST0075I,121,2
24EES0004V,121,2
24EES0069E,121,2
24EES0072S,121,2
24PES0025N,121,2
24PES0026M,121,2
24PES0093K,121,2
24PES0161R,121,2
24PES0190M,121,2
24PES0199D,121,2
24EES0007S,121,2
24PES0223N,121,2
24SST0001T,121,2
24DST0083R,121,2
24PES0186Z,121,2
24PES0141D,121,2
24PES0225L,121,2
24EES0075P,121,2
24PES0133V,121,2
24PES0251J,121,2
24DES0020N,121,3
24DES0022L,121,3
24DES0033R,121,3
24DES0036O,121,3
24DES0040A,121,3
24DES0057A,121,3
24DES0069F,121,3
24DES0107S,121,3
24DES0108R,121,3
24DES0109Q,121,3
24DES0111E,121,3
24DES0114B,121,3
24DST0025A,121,3
24DST0028Y,121,3
24DST0032K,121,3
24DST0049K,121,3
24DST0050Z,121,3
24DST0076H,121,3
24DST0086O,121,3
24DST0092Z,121,3
24DST0093Y,121,3
24EES0002X,121,3
24EES0059Y,121,3
24EES0062L,121,3
24PES0024O,121,3
24PES0057F,121,3
24PES0132W,121,3
24PES0151K,121,3
24PES0162Q,121,3
24PES0173W,121,3
24PES0218B,121,3
24EES0061M,121,3
24DES0088U,121,3
24PES0203Z,121,3
24ESN0004C,121,3
24PES0232V,121,3
24PES0038R,121,3
24EES0005U,121,4
24EES0060N,121,4
24PES0010L,121,4
24PES0078S,121,4
24PES0099E,121,4
24PES0127K,121,4
24PES0136S,121,4
24PES0189X,121,4
24PES0205Y,121,4
24PES0250K,121,4
24PES0236R,121,4
24PES0160S,121,4
24DES0027G,121,5
24DES0074R,121,5
24DES0099Z,121,5
24DES0112D,121,5
24DES0113C,121,5
24DST0001R,121,5
24DST0014V,121,5
24DST0044P,121,5
24DST0051Z,121,5
24DST0073K,121,5
24DST0074J,121,5
24DST0090A,121,5
24EES0003W,121,5
24EES0065I,121,5
24EES0070U,121,5
24EES0074Q,121,5
24PES0240D,121,5
24PES0183C,121,5
24PES0248W,121,5
24PES0194I,121,5
24EES0006T,121,6
24PES0005Z,121,6
24PES0006Z,121,6
24PES0008X,121,6
24PES0009W,121,6
24PES0011K,121,6
24PES0033W,121,6
24PES0037S,121,6
24PES0044B,121,6
24PES0128J,121,6
24PES0130Y,121,6
24PES0166M,121,6
24PES0168K,121,6
24PES0171Y,121,6
24PES0180F,121,6
24PES0193J,121,6
24PES0206X,121,6
24PES0207W,121,6
24PES0213G,121,6
24PES0226K,121,6
24PES0228I,121,6
24PES0230X,121,6
24PES0220Q,121,6
24PES0238P,121,6
24PES0227J,121,6
24PES0247X,121,6
24PES0242B,121,6
24PES0170Z,121,6
24PES0200C,121,6
24PES0239O,121,6
24PES0245Z,121,6
24DST0066A,121,7
24PES0212H,121,7
