"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.83,1.11,0.46,0.93,1823.35,3,0
"2",2,0.22,0.58,0.01,0.18,639.62,9,0.22
"3",3,0.09,0.45,0,0.04,348.27,15,0.33
"4",4,0.02,0.02,0.02,0.02,0,2,0
"5",5,0.13,0.23,0.06,0.12,56.03,4,0
"6",6,0.87,2.19,0,0.6,6663.76,16,0.25
"7",7,0.17,0.2,0.12,0.19,94.98,3,0
"8",8,0.29,0.55,0.17,0.25,443.66,5,0
"9",9,0.37,0.78,0.01,0.37,2184.05,14,0.07
"10",10,0.4,0.78,0.01,0.4,1474.3,9,0
"11",11,0.16,0.16,0.16,0.16,0,2,0
