"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.03,0.06,0,0.02,1.89,5,0
"2",2,0.04,0.07,0.01,0.04,11.19,5,0.2
"3",3,0.07,0.18,0,0.07,80.15,8,0.12
"4",4,0.01,0.02,0,0.01,0.54,4,0
"5",5,0.04,0.04,0.04,0.04,0,2,0.5
"6",6,0.03,0.07,0,0.02,5.57,7,0.14
"7",7,0.32,0.57,0.07,0.33,342.54,4,0
"8",8,0.07,0.17,0,0.06,25.5,7,0
"9",9,0.41,1.01,0.02,0.2,512.62,8,0
"10",10,0.18,0.19,0.15,0.18,116.4,3,0
"11",11,0.31,0.96,0,0.24,886.43,8,0.25
"12",12,0.1,0.1,0.1,0.1,0,2,0
"13",13,0.09,0.14,0.02,0.08,73.74,6,0
"14",14,0.06,0.06,0.06,0.06,0,2,0
"15",15,0.11,0.11,0.11,0.11,0,2,0
"16",16,0.09,0.19,0,0.07,84.62,7,0
"17",17,0.06,0.06,0.06,0.06,0,2,0
"18",18,0.39,0.78,0,0.63,150.89,6,0.33
"19",19,0.08,0.15,0,0.07,6.52,4,0
"20",20,0.07,0.07,0.07,0.07,0,2,0
"21",21,0.02,0.02,0.02,0.02,0,2,0
"22",22,0.01,0.03,0,0.01,0.28,4,0.25
"23",23,0.15,0.19,0.07,0.19,58.13,3,0
"24",24,0.07,0.07,0.07,0.07,0,2,0
"25",25,0.05,0.05,0.05,0.05,0,2,0
"26",26,0.1,0.1,0.1,0.1,0,2,0
"27",27,0.04,0.04,0.04,0.04,0,2,0
"28",28,0,0,0,0,0,2,0
"29",29,0,0.01,0,0,0.11,5,0.2
"30",30,0.02,0.03,0,0.03,0,3,0
"31",31,0,0,0,0,0,2,0
"32",32,0,0,0,0,0,2,0
"33",33,0.14,0.14,0.14,0.14,0,2,0.5
"34",34,0.03,0.08,0,0.03,15.98,12,1
"35",35,0.03,0.06,0,0.03,0.97,4,1
"36",36,0,0,0,0,0,2,1
"37",37,0.04,0.05,0.01,0.05,1.89,3,1
"38",38,0.1,0.1,0.1,0.1,0,2,1
"39",39,0.07,0.11,0.02,0.1,7.34,3,1
