name,grupo,sub_grupo
02DES0004K,1650,1
02DES0026W,1650,1
02DES0027V,1650,1
02EES0048G,1650,1
02EES0170H,1650,1
02DES0056Q,1650,1
02PES0181T,1650,1
02ETV0003Q,1650,1
02EES0076C,1650,1
02DES0019M,1650,2
02DES0039Z,1650,2
02DST0038T,1650,2
02EES0008F,1650,2
02EES0052T,1650,2
02EES0097P,1650,2
02PES0028Z,1650,2
02PES0062F,1650,2
02PES0178F,1650,2
02ETV0018S,1650,2
02ETV0051Z,1650,2
02PES0188M,1650,2
02PES0097V,1650,2
02PES0079F,1650,2
02DES0015Q,1650,3
02DES0021A,1650,3
02DES0033F,1650,3
02DES0034E,1650,3
02DES0036C,1650,3
02DES0038A,1650,3
02DES0042N,1650,3
02DES0051V,1650,3
02DST0015I,1650,3
02DST0021T,1650,3
02DST0027N,1650,3
02DST0030A,1650,3
02DST0032Z,1650,3
02DST0034X,1650,3
02DST0037U,1650,3
02DST0040H,1650,3
02DST0041G,1650,3
02DST0042F,1650,3
02DST0045C,1650,3
02DST0046B,1650,3
02DST0047A,1650,3
02DTV0013Y,1650,3
02EES0038Z,1650,3
02EES0041N,1650,3
02EES0042M,1650,3
02EES0044K,1650,3
02EES0051U,1650,3
02EES0054R,1650,3
02EES0069T,1650,3
02EES0073F,1650,3
02EES0075D,1650,3
02EES0169S,1650,3
02EES0184K,1650,3
02EES0193S,1650,3
02EES0202J,1650,3
02EES0203I,1650,3
02EST0006Z,1650,3
02PES0002R,1650,3
02PES0003Q,1650,3
02PES0010Z,1650,3
02PES0035I,1650,3
02PES0036H,1650,3
02PES0065C,1650,3
02ETV0012Y,1650,3
02ETV0037G,1650,3
02ETV0039E,1650,3
02ETV0082T,1650,3
02EST0018E,1650,3
02DST0051N,1650,3
02ETV0079F,1650,3
02PES0196V,1650,3
02PES0197U,1650,3
02PES0109J,1650,3
02ETV0080V,1650,3
02ETV0078G,1650,3
02PES0023D,1650,3
02PES0116T,1650,3
02PES0011Z,1650,4
02PES0051Z,1650,4
02PES0053Y,1650,4
02PES0058T,1650,4
02PES0085Q,1650,4
02PES0103P,1650,4
02PES0179E,1650,4
02PES0174J,1650,4
02PES0205M,1650,4
02PES0210Y,1650,4
02PES0185P,1650,4
02PES0209I,1650,4
02DES0003L,1650,5
02DES0010V,1650,5
02DES0014R,1650,5
02DES0017O,1650,5
02DES0022Z,1650,5
02DES0032G,1650,5
02DES0037B,1650,5
02DES0047I,1650,5
02DES0050W,1650,5
02DES0052U,1650,5
02DST0001F,1650,5
02DST0035W,1650,5
02DTV0005P,1650,5
02EES0014Q,1650,5
02EES0086J,1650,5
02EES0098O,1650,5
02EES0113Q,1650,5
02EES0148F,1650,5
02EES0158M,1650,5
02EES0161Z,1650,5
02EES0162Z,1650,5
02EES0185J,1650,5
02EES0195Q,1650,5
02EES0209C,1650,5
02ETV0006N,1650,5
02ETV0019R,1650,5
02PES0089M,1650,5
02PES0211X,1650,5
02ETV0026A,1650,5
02EES0210S,1650,5
02ETV0028Z,1650,5
02DES0054S,1650,5
02PES0066B,1650,5
02PES0213V,1650,5
02PES0017T,1650,5
02PES0063E,1650,5
02PES0117S,1650,5
02PES0039E,1650,6
02PES0046O,1650,6
02PES0049L,1650,6
02PES0088N,1650,6
02PES0092Z,1650,6
02PES0093Z,1650,6
02PES0099T,1650,6
02PES0173K,1650,6
02PES0177G,1650,6
02PES0166A,1650,6
02PES0186O,1650,6
02PES0101R,1650,6
02PES0104O,1650,6
02DES0012T,1650,7
02DES0018N,1650,7
02DES0020B,1650,7
02DES0043M,1650,7
02DES0046J,1650,7
02DSC0001P,1650,7
02DST0028M,1650,7
02DST0043E,1650,7
02EES0012S,1650,7
02EES0033E,1650,7
02EES0047H,1650,7
02EES0072G,1650,7
02EES0112R,1650,7
02EES0137Z,1650,7
02EES0165W,1650,7
02EES0192T,1650,7
02EES0207E,1650,7
02EES0212Q,1650,7
02ESN0007O,1650,7
02EST0005A,1650,7
02EST0011L,1650,7
02EST0015H,1650,7
02ETV0053Y,1650,7
02PES0034J,1650,7
02PES0038F,1650,7
02ETV0052Z,1650,7
02PES0087O,1650,7
02PES0110Z,1650,7
02PES0165B,1650,7
02PES0203O,1650,7
02PES0098U,1650,7
02PST0010S,1650,7
02PES0043R,1650,7
02ETV0024C,1650,7
02PES0040U,1650,8
02PES0081U,1650,8
02PES0168Z,1650,8
02PES0005O,1650,9
02PES0027Z,1650,9
02PES0021F,1650,10
02PES0212W,1650,10
02PES0060H,1650,11
02PES0084R,1650,11
02PES0037G,1650,12
02PES0078G,1650,12
02PES0102Q,1650,12
02PES0175I,1650,12
02PES0095X,1650,13
02PES0132K,1650,13
02PES0022E,1650,14
02PES0198T,1650,14
