name,lat,lon,grupo,authority,betweenness,eigen,hub,pagerank,subgraph,degree
05DES0005G,25.57257,-103.43497,34,2.625536991438174e-17,290,0,2.625536991438174e-17,0.00481317416835414,993080.0680317692,13
05DES0011R,25.55321,-103.45501,34,8.166106130158245e-18,5,0,8.166106130158245e-18,0.005167197125966674,781253.1984810842,15
05DES0015N,25.7686,-103.26726,34,8.70158849934895e-19,1610,0,8.70158849934895e-19,0.0037615014403451327,4646.690110057066,6
05DES0017L,25.52606,-103.43307,34,7.028206095627999e-19,1142,0,7.028206095627999e-19,0.005709231669292418,2906984.9587408,25
05DES0023W,25.55086,-103.42008,34,0,185,0,0,0.005922587341779489,3111538.800766372,23
05DES0025U,25.53348,-103.47493,34,0,0,0,0,0.004732302420404177,623663.9463766022,12
05DES0036Z,25.51549,-103.44225,34,3.84877952855819e-18,483,0,3.84877952855819e-18,0.007851268535481473,1383670.7603086145,17
05DES0037Z,25.76082,-102.97561,34,3.8380698811743755e-16,403,2.5082227027473304e-14,3.8380698811743755e-16,0.013692532304898156,4063.4353182156833,9
05DES0039X,25.55604,-103.38029,34,0,276,0,0,0.005556095727640894,954004.6765416927,16
05DES0040M,25.77883,-103.32516,34,0,0,0,0,0.003375711722079254,9.365019350258304,2
05DES0041L,25.52329,-103.23261,34,0,0,0,0,0.0028928677022194015,11475.51039557528,2
05DES0043J,25.51105,-103.40119,34,1.2801375388465282e-17,292.75,0,1.2801375388465282e-17,0.010799842074686615,3903190.0735689034,30
05DES0044I,25.83835,-103.27682,34,0,996,0,0,0.009074718891812064,29.351523746997756,6
05DES0045H,25.5409,-103.35432,34,1.0157431190586178e-17,0,0,1.0157431190586178e-17,0.0037658394250400786,584267.1832380233,10
05DES0053Q,25.56981,-103.44584,34,4.00775085691168e-17,2147,0,4.00775085691168e-17,0.007694483409631743,3277379.980826328,28
05DES0054P,25.55121,-103.41247,34,0,0,0,0,0.003794293644042047,772883.3908782557,10
05DES0059K,25.50139,-103.38229,34,1.1127992984744331e-18,201,0,1.1127992984744331e-18,0.0056812155164824,2107668.620771052,20
05DES0080N,25.60537,-103.36617,34,3.8868489782428413e-17,0,8.739772475095231e-17,3.8868489782428413e-17,0.005124649163031064,173701.88328356747,9
05DES0084J,25.49319,-103.34549,34,3.088227226067017e-17,1,7.42114013674753e-17,3.088227226067017e-17,0.0037752381607226632,294948.93693479564,9
05DES0085I,25.54363,-103.32721,34,4.6411260967200607e-17,0,0,4.6411260967200607e-17,0.0038524302545039843,90525.3819106589,3
05DST0001C,25.53559,-103.44061,34,3.745029819527491e-17,8216,0,3.745029819527491e-17,0.008592473226528816,6302361.081452945,45
05DST0007X,25.7587,-102.98925,34,0,1961,5.0046697120545324e-15,0,0.0044427131806155234,13152.779209600676,9
05DST0011J,25.48676,-103.1431,34,3.8270255573098173e-17,202,0,3.8270255573098173e-17,0.005576220004093535,9797.287907696598,3
05DST0013H,25.63408,-103.37729,34,4.115684021951681e-17,681,1.2119151165465388e-15,4.115684021951681e-17,0.0068032777688142605,688213.0774059136,15
05DST0014G,25.69282,-103.28277,34,5.385781266375884e-17,202,1.7034889859352286e-16,5.385781266375884e-17,0.006812017022651429,23149.455084204736,6
05DST0017D,25.77691,-103.11102,34,3.2881964233116707e-18,402,7.139014148077789e-16,3.2881964233116707e-18,0.004254304476513359,608.6038334975225,5
05DST0022P,25.87252,-103.22161,34,0,0,0,0,0.0034788723973089744,53.1300033294231,3
05DST0036S,25.58396,-103.4103,34,3.925755119129353e-17,0,0,3.925755119129353e-17,0.004512966030150423,561407.5566519963,12
05DST0040E,25.68545,-103.06653,34,3.723275848279118e-18,0,9.046431158431906e-16,3.723275848279118e-18,0.0012516414210478812,59.06581441271923,2
05DST0042C,25.52799,-103.3873,34,2.6021096377860805e-18,0,0,2.6021096377860805e-18,0.0030866827999649436,341418.3948032458,7
05DST0043B,25.69649,-103.3365,34,2.4404190630265434e-17,0,2.738462042196506e-16,2.4404190630265434e-17,0.0034612431339037524,7958.50127828285,3
05DST0044A,25.39346,-103.20261,34,3.11531510372725e-17,200,0,3.11531510372725e-17,0.0030569740072931106,9737.244765504882,2
05DST0045Z,25.76212,-103.24177,34,0,0,5.3061535301099007e-17,0,0.0031568931967401936,88.3587971511459,2
05DST0046Z,25.90345,-103.26029,34,3.740009672316328e-18,0,0,3.740009672316328e-18,0.0026444916212338466,3.2223772613048185,2
