"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.09,0.29,0,0.09,345.82,56,0.98
"2",2,0.09,0.71,0,0.07,1039.86,99,0.41
"3",3,0.1,0.66,0,0.05,841.58,62,0.48
"4",4,0.08,0.41,0,0.07,270.04,92,0.12
"5",5,0.05,0.32,0,0.03,167.62,59,0.2
"6",6,0.11,0.37,0,0.07,159.54,49,0.18
"7",7,0.06,0.22,0,0.05,156.03,99,0.07
"8",8,0.14,0.45,0,0.11,713.7,77,0.25
"9",9,0.09,0.51,0,0.07,441.89,77,0.16
"10",10,0.35,0.52,0.05,0.48,39.92,3,1
"11",11,0.02,0.03,0.01,0.02,0.77,3,1
"12",12,0.08,0.2,0,0.07,129.09,11,0.27
"13",13,0.19,0.53,0,0.21,691.88,25,0.12
"14",14,0.11,0.46,0,0.04,98.8,13,0.15
"15",15,0.22,0.42,0.02,0.21,73.2,4,0
"16",16,0,0,0,0,0,2,0
"17",17,0,0,0,0,0,2,0
"18",18,0.26,0.26,0.26,0.26,0,2,0
"19",19,0.18,0.23,0.16,0.17,118.3,3,0
