"","group","mean_dist","max_dist","min_dist","median_dist","convex_hull","num_elem_subgroup","priv"
"1",1,0.09,0.19,0,0.1,69.43,6,0.17
"2",2,0.13,0.96,0,0.06,1149.28,35,0.2
"3",3,0.07,0.18,0,0.07,79.91,8,0.12
"4",4,0.07,0.17,0,0.04,8.2,6,0.17
"5",5,0.04,0.08,0,0.04,23.73,18,1
"6",6,0.09,0.13,0.02,0.09,65.56,5,0
"7",7,0.05,0.1,0,0.05,6.36,5,0
"8",8,0.09,0.19,0,0.07,84.5,7,0
"9",9,0.03,0.07,0,0.02,7.25,10,0
"10",10,0.07,0.07,0.07,0.07,0,2,0.5
"11",11,0.11,0.16,0.07,0.1,22.17,3,0
"12",12,0.09,0.14,0.02,0.08,73.7,6,0
"13",13,0.03,0.06,0,0.02,1.9,5,0
"14",14,0.07,0.11,0.02,0.1,7.39,3,1
"15",15,0.15,0.19,0.07,0.19,58.2,3,0
"16",16,0.06,0.06,0.06,0.06,0,2,0
"17",17,0.12,0.12,0.12,0.12,0,2,0
"18",18,0.07,0.07,0.07,0.07,0,2,0
"19",19,0.1,0.1,0.1,0.1,0,2,1
"20",20,0.18,0.19,0.15,0.18,116.28,3,0
"21",21,0,0,0,0,0,2,1
"22",22,0.04,0.04,0.04,0.04,0,2,0
"23",23,0.07,0.07,0.07,0.07,0,2,0
"24",24,0.11,0.11,0.11,0.11,0,2,0
"25",25,0.14,0.14,0.14,0.14,0,2,0.5
"26",26,0,0,0,0,0,2,0
"27",27,0.06,0.06,0.06,0.06,0,2,0
"28",28,0.05,0.05,0.05,0.05,0,2,0
"29",29,0.1,0.1,0.1,0.1,0,2,0
"30",30,0,0,0,0,0,2,0
